"","SS","Year","latitude","longitude","Project","Gridnum","StationNum","recording_date","recording_time","method","transcriber","rain","wind","industry_noise","noise","GridnumZ","StationnumZ","Site","StationKey","DateTime","lubridated","Month","Day","Hour","Minute","Second","ALFL","AMBI","AMCO","AMCR","AMGO","AMRE","AMRO","AMWI","ATSP","BADO","BAOR","BARS","BAWA","BAWW","BBWA","BCCH","BCFR","BHCO","BHVI","BLBW","BLJA","BLPW","BOCH","BOOW","BOWA","BRBL","BRCR","BRSP","BTGN","BTNW","BWHA","BWWA","CANG","CAWA","CCLO","CCSP","CEDW","CHSP","CMWA","COLO","CONI","CONW","CORA","COYE","CSWA","DEJU","EAKI","EAPH","EUST","FOSP","FRGU","GCKI","GCTH","GHOW","GRAJ","GRCA","GRYE","HASP","HEBA","HEDT","HENO","HERA","HETH","HETR","HEWI","HOFI","HOSP","HOWR","LCSP","LEFL","LEYE","LIAI","LIBA","LIDT","LINO","LIRA","LISP","LITR","LIWI","MAWA","MAWR","MEGU","MGWA","MOAI","MOBA","MODO","MODT","MONO","MORA","MOTR","MOWA","MOWI","MYWA","NAWA","NESP","NOBO","NOFL","NOGO","NOPA","NOWA","NRWS","NSWO","OCWA","OSFL","OVEN","PAWA","PAWR","PBGR","PHVI","PISI","PIWO","PSFL","PUFI","RBGR","RBNU","RCKI","RESQ","REVI","RNGR","RUBL","RUGR","RWBL","SACR","SAPH","SAVS","SCTA","SEWR","SORA","SOSA","SOSP","SPSA","SPTO","SWSP","SWTH","TEWA","TOSO","TRES","UNAM","UNBL","UNCV","UNFI","UNFL","UNKN","UNOW","UNPA","UNSH","UNSP","UNSW","UNTE","UNTH","UNTR","UNVI","UNWA","UNWO","UNYE","VATH","VEER","WAVI","WBBE","WBNU","WCSP","WETA","WEWP","WISN","WIWA","WIWR","WOFR","WTDE","WTSP","WWCR","YBFL","YBSA","YEWA","YHBL","YRWA"
"1","BG_1_10",2014,56.247985,-110.957898,"BG",1,10,"2014-07-02","05:00:00","3m1SPM+7mVS","Michelle Knaggs",0,0,1,0,1,10,"BG-0001","BG-0001-010","2014-07-02 05:00:00","2014-07-02 05:00:00",7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"2","BG_1_10",2014,56.247985,-110.957898,"BG",1,10,"2014-07-03","07:00:00","3m 1SPM","Michelle Knaggs",0,0,2,0,1,10,"BG-0001","BG-0001-010","2014-07-03 07:00:00","2014-07-03 07:00:00",7,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1
"3","BG_1_10",2014,56.247985,-110.957898,"BG",1,10,"2014-07-03","07:00:00","3m1SPM+7mVS","Michelle Knaggs",0,0,1,0,1,10,"BG-0001","BG-0001-010","2014-07-03 07:00:00","2014-07-03 07:00:00",7,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"4","BG_1_10",2014,56.247985,-110.957898,"BG",1,10,"2014-07-05","05:00:00","3m 1SPM","Alex MacPhail",0,0,1,0,1,10,"BG-0001","BG-0001-010","2014-07-05 05:00:00","2014-07-05 05:00:00",7,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1
"5","BG_1_10",2014,56.247985,-110.957898,"BG",1,10,"2014-07-05","05:00:00","3m1SPM+7mVS","Alex MacPhail",0,0,0,0,1,10,"BG-0001","BG-0001-010","2014-07-05 05:00:00","2014-07-05 05:00:00",7,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1
"6","BG_1_10",2014,56.247985,-110.957898,"BG",1,10,"2014-07-10","07:00:00","3m 1SPM","Alex MacPhail",0,1,1,0,1,10,"BG-0001","BG-0001-010","2014-07-10 07:00:00","2014-07-10 07:00:00",7,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"7","BG_1_10",2014,56.247985,-110.957898,"BG",1,10,"2014-07-10","07:00:00","3m1SPM+7mVS","Alex MacPhail",0,2,1,0,1,10,"BG-0001","BG-0001-010","2014-07-10 07:00:00","2014-07-10 07:00:00",7,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"8","BG_1_100",2014,56.301901,-110.957741,"BG",1,100,"2014-07-01","10:00:00","3m 1SPM","Michelle Knaggs",0,0,2,0,1,100,"BG-0001","BG-0001-100","2014-07-01 10:00:00","2014-07-01 10:00:00",7,1,10,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"9","BG_1_100",2014,56.301901,-110.957741,"BG",1,100,"2014-07-01","10:00:00","3m1SPM+7mVS","Michelle Knaggs",0,0,2,0,1,100,"BG-0001","BG-0001-100","2014-07-01 10:00:00","2014-07-01 10:00:00",7,1,10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"10","BG_1_100",2014,56.301901,-110.957741,"BG",1,100,"2014-07-02","05:00:00","3m1SPM+7mVS","Michelle Knaggs",0,0,3,0,1,100,"BG-0001","BG-0001-100","2014-07-02 05:00:00","2014-07-02 05:00:00",7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
