"","SS","Visits"
"1","BG_1_10",7
"2","BG_1_100",6
"3","BG_1_101",5
"4","BG_1_102",5
"5","BG_1_103",8
"6","BG_1_104",6
"7","BG_1_105",5
"8","BG_1_109",6
"9","BG_1_11",4
"10","BG_1_112",4
"11","BG_1_113",4
"12","BG_1_114",8
"13","BG_1_115",5
"14","BG_1_116",8
"15","BG_1_117",6
"16","BG_1_118",5
"17","BG_1_119",7
"18","BG_1_12",5
"19","BG_1_120",5
"20","BG_1_124",8
"21","BG_1_126",6
"22","BG_1_127",6
"23","BG_1_128",6
"24","BG_1_129",6
"25","BG_1_13",6
"26","BG_1_130",6
"27","BG_1_131",2
"28","BG_1_132",7
"29","BG_1_133",6
"30","BG_1_134",6
"31","BG_1_135",5
"32","BG_1_139",5
"33","BG_1_14",7
"34","BG_1_141",5
"35","BG_1_142",5
"36","BG_1_143",3
"37","BG_1_144",7
"38","BG_1_145",7
"39","BG_1_146",6
"40","BG_1_147",5
"41","BG_1_148",6
"42","BG_1_149",2
"43","BG_1_150",5
"44","BG_1_21",8
"45","BG_1_22",7
"46","BG_1_23",4
"47","BG_1_24",4
"48","BG_1_25",8
"49","BG_1_26",8
"50","BG_1_27",8
"51","BG_1_28",5
"52","BG_1_29",5
"53","BG_1_36",5
"54","BG_1_37",7
"55","BG_1_38",6
"56","BG_1_39",5
"57","BG_1_40",6
"58","BG_1_41",7
"59","BG_1_42",4
"60","BG_1_43",6
"61","BG_1_44",7
"62","BG_1_51",5
"63","BG_1_52",5
"64","BG_1_53",6
"65","BG_1_54",6
"66","BG_1_55",4
"67","BG_1_56",2
"68","BG_1_57",6
"69","BG_1_58",5
"70","BG_1_6",6
"71","BG_1_60",7
"72","BG_1_66",7
"73","BG_1_68",4
"74","BG_1_69",6
"75","BG_1_7",6
"76","BG_1_70",6
"77","BG_1_71",6
"78","BG_1_72",1
"79","BG_1_73",6
"80","BG_1_74",2
"81","BG_1_75",6
"82","BG_1_8",6
"83","BG_1_81",4
"84","BG_1_82",6
"85","BG_1_84",5
"86","BG_1_85",6
"87","BG_1_86",5
"88","BG_1_87",7
"89","BG_1_88",4
"90","BG_1_89",7
"91","BG_1_9",4
"92","BG_1_90",5
"93","BG_1_96",1
"94","BG_1_97",8
"95","BG_1_98",6
"96","BG_1_99",7
"97","BG_10_1",3
"98","BG_10_10",3
"99","BG_10_100",4
"100","BG_10_11",4
"101","BG_10_12",4
"102","BG_10_13",3
"103","BG_10_14",4
"104","BG_10_15",3
"105","BG_10_17",4
"106","BG_10_18",4
"107","BG_10_19",4
"108","BG_10_2",4
"109","BG_10_20",4
"110","BG_10_21",4
"111","BG_10_22",4
"112","BG_10_23",4
"113","BG_10_24",3
"114","BG_10_25",4
"115","BG_10_26",4
"116","BG_10_27",4
"117","BG_10_28",3
"118","BG_10_29",4
"119","BG_10_3",3
"120","BG_10_30",4
"121","BG_10_31",3
"122","BG_10_32",4
"123","BG_10_33",4
"124","BG_10_34",4
"125","BG_10_35",4
"126","BG_10_36",4
"127","BG_10_37",3
"128","BG_10_38",3
"129","BG_10_39",4
"130","BG_10_4",3
"131","BG_10_40",3
"132","BG_10_41",3
"133","BG_10_42",2
"134","BG_10_43",3
"135","BG_10_44",4
"136","BG_10_45",3
"137","BG_10_46",1
"138","BG_10_47",3
"139","BG_10_48",4
"140","BG_10_49",3
"141","BG_10_5",4
"142","BG_10_50",4
"143","BG_10_51",3
"144","BG_10_52",3
"145","BG_10_53",4
"146","BG_10_54",4
"147","BG_10_55",3
"148","BG_10_56",2
"149","BG_10_57",3
"150","BG_10_58",3
"151","BG_10_6",4
"152","BG_10_60",4
"153","BG_10_61",3
"154","BG_10_62",4
"155","BG_10_63",4
"156","BG_10_64",1
"157","BG_10_65",3
"158","BG_10_66",4
"159","BG_10_67",4
"160","BG_10_68",4
"161","BG_10_69",4
"162","BG_10_7",4
"163","BG_10_70",4
"164","BG_10_71",4
"165","BG_10_72",3
"166","BG_10_73",3
"167","BG_10_74",4
"168","BG_10_75",4
"169","BG_10_76",4
"170","BG_10_77",4
"171","BG_10_79",4
"172","BG_10_8",3
"173","BG_10_80",4
"174","BG_10_81",3
"175","BG_10_82",4
"176","BG_10_85",3
"177","BG_10_86",3
"178","BG_10_87",3
"179","BG_10_88",4
"180","BG_10_89",4
"181","BG_10_9",4
"182","BG_10_90",3
"183","BG_10_91",3
"184","BG_10_92",3
"185","BG_10_93",4
"186","BG_10_94",3
"187","BG_10_95",4
"188","BG_10_96",2
"189","BG_10_97",4
"190","BG_10_98",4
"191","BG_10_99",4
"192","BG_11_1",5
"193","BG_11_10",4
"194","BG_11_100",4
"195","BG_11_11",4
"196","BG_11_12",4
"197","BG_11_13",4
"198","BG_11_14",4
"199","BG_11_15",4
"200","BG_11_16",3
"201","BG_11_17",4
"202","BG_11_18",4
"203","BG_11_19",4
"204","BG_11_2",3
"205","BG_11_20",4
"206","BG_11_21",4
"207","BG_11_22",4
"208","BG_11_23",4
"209","BG_11_24",4
"210","BG_11_25",4
"211","BG_11_26",4
"212","BG_11_27",3
"213","BG_11_28",4
"214","BG_11_29",4
"215","BG_11_3",4
"216","BG_11_30",4
"217","BG_11_31",4
"218","BG_11_32",4
"219","BG_11_33",4
"220","BG_11_34",4
"221","BG_11_35",4
"222","BG_11_36",3
"223","BG_11_38",3
"224","BG_11_39",3
"225","BG_11_4",4
"226","BG_11_40",4
"227","BG_11_41",4
"228","BG_11_42",4
"229","BG_11_43",4
"230","BG_11_44",4
"231","BG_11_45",4
"232","BG_11_46",4
"233","BG_11_48",4
"234","BG_11_49",4
"235","BG_11_5",4
"236","BG_11_50",4
"237","BG_11_51",4
"238","BG_11_52",4
"239","BG_11_53",4
"240","BG_11_54",4
"241","BG_11_55",4
"242","BG_11_56",4
"243","BG_11_58",4
"244","BG_11_59",4
