"","location","Year","method","recording_date","transcriber","n"
"1","BG-1-10",2014,"3m 1SPM","2014-07-03","Michelle Knaggs",1
"2","BG-1-10",2014,"3m 1SPM","2014-07-05","Alex MacPhail",1
"3","BG-1-10",2014,"3m 1SPM","2014-07-10","Alex MacPhail",1
"4","BG-1-10",2014,"3m1SPM+7mVS","2014-07-02","Michelle Knaggs",1
"5","BG-1-10",2014,"3m1SPM+7mVS","2014-07-03","Michelle Knaggs",1
"6","BG-1-10",2014,"3m1SPM+7mVS","2014-07-05","Alex MacPhail",1
"7","BG-1-10",2014,"3m1SPM+7mVS","2014-07-10","Alex MacPhail",1
"8","BG-1-100",2014,"3m 1SPM","2014-07-01","Michelle Knaggs",1
"9","BG-1-100",2014,"3m 1SPM","2014-07-06","Alex MacPhail",1
"10","BG-1-100",2014,"3m 1SPM","2014-07-08","Alex MacPhail",1
"11","BG-1-100",2014,"3m1SPM+7mVS","2014-07-01","Michelle Knaggs",1
"12","BG-1-100",2014,"3m1SPM+7mVS","2014-07-02","Michelle Knaggs",1
"13","BG-1-100",2014,"3m1SPM+7mVS","2014-07-03","Alex MacPhail",1
"14","BG-1-100",2014,"3m1SPM+7mVS","2014-07-06","Alex MacPhail",1
"15","BG-1-100",2014,"3m1SPM+7mVS","2014-07-08","Alex MacPhail",1
"16","BG-1-101",2014,"3m 1SPM","2014-06-12","Alex MacPhail",1
"17","BG-1-101",2014,"3m 1SPM","2014-06-21","Michelle Knaggs",1
"18","BG-1-101",2014,"3m1SPM+7mVS","2014-06-12","Alex MacPhail",1
"19","BG-1-101",2014,"3m1SPM+7mVS","2014-06-18","Michelle Knaggs",1
"20","BG-1-101",2014,"3m1SPM+7mVS","2014-06-21","Michelle Knaggs",1
"21","BG-1-102",2014,"3m 1SPM","2014-06-01","Michelle Knaggs",1
"22","BG-1-102",2014,"3m 1SPM","2014-06-07","Alex MacPhail",1
"23","BG-1-102",2014,"3m1SPM+7mVS","2014-06-01","Michelle Knaggs",1
"24","BG-1-102",2014,"3m1SPM+7mVS","2014-06-03","Michelle Knaggs",1
"25","BG-1-102",2014,"3m1SPM+7mVS","2014-06-07","Alex MacPhail",1
"26","BG-1-103",2014,"3m 1SPM","2014-06-29","Michelle Knaggs",1
"27","BG-1-103",2014,"3m 1SPM","2014-07-06","Michelle Knaggs",1
"28","BG-1-103",2014,"3m 1SPM","2014-07-13","Alex MacPhail",1
