"","SS","DecidR","Decid1","Decid2","Decid3","Decid4","Decid5","Decid6","Decid7","Decid8","Decid9","MixedwoodR","Mixedwood1","Mixedwood2","Mixedwood3","Mixedwood4","Mixedwood5","Mixedwood6","Mixedwood7","Mixedwood8","Mixedwood9","PineR","Pine1","Pine2","Pine3","Pine4","Pine5","Pine6","Pine7","Pine8","Pine9","SpruceR","Spruce1","Spruce2","Spruce3","Spruce4","Spruce5","Spruce6","Spruce7","Spruce8","Spruce9","TreedBogR","TreedBog1","TreedBog2","TreedBog3","TreedBog4","TreedBog5","TreedBog6","TreedBog7","TreedBog8","TreedBog9","TreedFenR","TreedFen1","TreedFen2","TreedFen3","TreedFen4","TreedFen5","TreedFen6","TreedFen7","TreedFen8","TreedFen9","TreedSwampR","TreedSwamp1","TreedSwamp2","TreedSwamp3","TreedSwamp4","TreedSwamp5","TreedSwamp6","TreedSwamp7","TreedSwamp8","TreedSwamp9","GrassHerb","Shrub","GraminoidFen","Marsh","ShrubbyBog","ShrubbyFen","ShrubbySwamp","Bare","SnowIce","Water","UrbanIndustrial","UrbanResidence","RuralResidentialIndustrial","IndustrialSiteRural","WindGenerationFacility","OtherDisturbedVegetation","MineSite","PeatMine","WellSite","Pipeline","TransmissionLine","SeismicLineNarrow","SeismicLineWide","RoadHardSurface","RailHardSurface","RoadTrailVegetated","RoadVegetatedVerge","RailVegetatedVerge","CultivationCrop","CultivationAbandoned","CultivationRoughPasture","CultivationTamePasture","HighDensityLivestockOperation","BorrowpitsDugoutsSumps","MunicipalWaterSewage","Reservoirs","Canals","CCDecidR","CCDecid1","CCDecid2","CCDecid3","CCDecid4","CCMixedwoodR","CCMixedwood1","CCMixedwood2","CCMixedwood3","CCMixedwood4","CCPineR","CCPine1","CCPine2","CCPine3","CCPine4","CCSpruceR","CCSpruce1","CCSpruce2","CCSpruce3","CCSpruce4"
"BG_10_1","BG_10_1",0,0,0,223888.274784394,0,3702.13381898075,0,20082.1709957726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107461.215713,0,0,0,0,0,0,0,0,0,0,0,0,1640.16430339534,0,0,3226.09510776753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG_10_10","BG_10_10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5543.21549526071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40888.9771407297,0,0,214910.217337817,0,0,3198.96753154662,0,0,0,0,0,0,0,0,0,0,0,0,7900.06102035854,7357.12781807135,0,0,0,0,0,77180.6438969701,0,0,0,0,0,0,0,0,0,0,0,0,1207.89512101232,0,0,1812.90665867078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG_10_100","BG_10_100",0,0,0,0,34559.6258937825,220728.345054169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0919147044631454,0.0578515700946557,44.0183613425104,0.0156203802403596,20287.7917022152,0,0,0,0,0,0,0,0,0,0,0,0,5.92561462141875,0,0,0,52503.33022793,0,0,3763.89868136453,0,0,0,0,0,0,0,0,0,0,0,0,7.65003351896897,0,0,0,0,0,28099.3307273504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG_10_11","BG_10_11",0,0,0,167048.615195962,0,0,0,7519.10770001014,0,0,0,0,0,0,0,0,0,39661.8464797489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19046.4049882367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6788.7101507189,0,0,0,0,0,0,0,0,0,0,0,0,7845.11243318084,90617.187821935,20577.37553332,0,0,0,0,7.32297431213521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,888.374213011986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG_10_12","BG_10_12",0,0,0,124811.480749184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53561.0140142733,10177.6213814146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5736.44182617942,41227.4593152628,10927.9532589651,31088.8379783999,82331.8828484971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.341462860794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG_10_13","BG_10_13",0,0,0,46919.527651147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63082.1348343202,0,0,0,41683.1663020538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27471.491301367,0,0,0,0,0,0,0,0,0,0,0,0,0,69135.7465547452,57093.326869753,19746.8161229976,5368.07058137189,29045.2598677674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454.542964446821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG_10_14","BG_10_14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148262.686743653,0,0,0,5493.76210239482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.769431689535,0,0,0,0,0,0,0,0,0,0,0,0,0,174626.524487672,28526.5521015854,2231.8323254286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569.901207960026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG_10_15","BG_10_15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721.824418962871,0,0,0,0,0,47605.4784596043,0,0,0,59774.5068574881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148547.222482002,21527.7982133417,899.998279527652,54377.3462498115,21660.664947511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691.406028465767,0,0,4193.7865233619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG_10_16","BG_10_16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41357.7450530758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11635.1612658715,0,0,0,0,0,0,0,0,0,0,6539.98807871894,182102.478174378,0,0,23517.4019789045,0,0,0,0,0,0,0,0,0,0,0,0,1149.06663809175,0,0,50023.0261924962,33640.2161228927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9707.56046679464,0,0,327.327784828676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG_10_17","BG_10_17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28949.4302630776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8648.35886974201,0,0,0,0,0,0,0,0,0,0,92878.5091964899,216263.71796347,2086.32989591959,0,8738.47565631602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2435.18520158747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
