"","L2x2","X1_sum","X2_sum","X3_sum","X4_sum"
"1","L-1-1",1,1,2,0
"2","L-1-10",0,0,0,0
"3","L-1-11",0,0,1,0
"4","L-1-12",1,1,0,0
"5","L-1-13",1,0,0,0
"6","L-1-14",0,1,0,0
"7","L-1-15",0,0,0,0
"8","L-1-16",1,2,1,1
"9","L-1-17",0,0,0,0
"10","L-1-18",0,0,0,0
"11","L-1-19",0,0,0,0
"12","L-1-2",2,2,0,0
"13","L-1-20",0,2,1,1
"14","L-1-21",1,1,0,0
"15","L-1-22",1,1,0,0
"16","L-1-23",0,0,0,1
"17","L-1-24",0,2,1,1
"18","L-1-25",2,2,2,1
"19","L-1-3",0,1,2,1
"20","L-1-4",1,0,0,0
"21","L-1-5",0,0,1,1
"22","L-1-6",0,0,0,0
"23","L-1-7",1,1,0,0
"24","L-1-8",3,3,2,2
"25","L-1-9",1,0,0,0
"26","L-10-1",1,0,2,1
"27","L-10-10",3,1,2,1
"28","L-10-11",2,3,0,0
"29","L-10-12",0,2,3,1
"30","L-10-13",3,1,3,0
"31","L-10-14",2,7,1,3
"32","L-10-15",4,1,1,2
"33","L-10-16",2,1,1,0
"34","L-10-17",2,4,4,0
"35","L-10-18",1,3,1,0
"36","L-10-19",2,3,5,3
"37","L-10-2",2,4,3,1
"38","L-10-20",0,2,4,2
"39","L-10-21",1,1,3,5
"40","L-10-22",5,3,2,1
"41","L-10-23",7,7,9,4
"42","L-10-24",6,6,5,4
"43","L-10-25",11,8,6,6
"44","L-10-3",7,5,3,0
"45","L-10-4",3,5,5,2
"46","L-10-5",0,2,3,1
"47","L-10-6",1,3,4,0
"48","L-10-7",5,1,5,2
"49","L-10-8",0,5,7,1
"50","L-10-9",2,3,2,4
"51","L-11-1",1,2,2,1
"52","L-11-10",2,3,5,1
"53","L-11-11",2,1,2,1
"54","L-11-12",4,3,4,4
"55","L-11-13",1,2,2,2
"56","L-11-14",3,2,4,0
"57","L-11-15",3,2,4,3
"58","L-11-16",1,2,1,0
"59","L-11-17",1,1,2,0
"60","L-11-18",0,0,0,0
"61","L-11-19",1,0,0,0
"62","L-11-2",3,2,6,2
"63","L-11-20",0,1,2,1
"64","L-11-21",1,0,1,0
"65","L-11-22",4,3,3,2
"66","L-11-23",1,0,1,1
"67","L-11-24",1,1,1,2
"68","L-11-25",0,1,1,1
"69","L-11-3",3,4,4,4
"70","L-11-4",1,1,2,1
"71","L-11-5",0,0,2,0
"72","L-11-6",1,0,3,2
"73","L-11-7",1,2,1,1
"74","L-11-8",1,0,2,1
"75","L-11-9",2,2,1,0
"76","L-12-1",3,2,3,0
"77","L-12-10",0,0,0,1
"78","L-12-11",0,0,1,0
"79","L-12-12",1,4,3,0
"80","L-12-13",2,2,1,1
"81","L-12-14",1,1,1,0
"82","L-12-15",1,3,1,2
"83","L-12-16",2,1,3,3
"84","L-12-17",1,2,2,0
"85","L-12-18",1,1,0,1
"86","L-12-19",2,3,0,2
"87","L-12-2",2,1,0,1
"88","L-12-20",4,4,3,3
"89","L-12-21",2,2,1,0
"90","L-12-22",0,0,0,0
"91","L-12-23",2,1,0,0
"92","L-12-24",1,1,1,2
"93","L-12-25",2,1,2,1
"94","L-12-3",1,1,1,1
"95","L-12-4",1,3,3,3
"96","L-12-5",1,1,1,1
"97","L-12-6",0,2,2,2
"98","L-12-7",2,1,1,0
"99","L-12-8",0,0,1,3
"100","L-12-9",4,4,2,2
"101","L-13-1",5,4,6,3
"102","L-13-10",2,1,2,0
"103","L-13-11",6,3,4,4
"104","L-13-12",4,3,4,7
"105","L-13-13",1,3,2,3
"106","L-13-14",6,2,5,4
"107","L-13-15",1,3,1,3
"108","L-13-16",3,4,6,5
"109","L-13-17",6,2,6,4
"110","L-13-18",2,2,4,2
"111","L-13-19",4,6,3,6
"112","L-13-2",4,4,6,3
"113","L-13-20",4,5,7,4
"114","L-13-21",2,5,4,5
"115","L-13-22",2,1,0,1
"116","L-13-23",2,2,1,0
"117","L-13-24",2,1,2,0
"118","L-13-25",1,4,2,0
"119","L-13-3",4,4,2,0
"120","L-13-4",2,2,0,0
"121","L-13-5",3,0,0,2
"122","L-13-6",5,4,5,7
"123","L-13-7",7,7,7,5
"124","L-13-8",2,4,3,3
"125","L-13-9",1,1,1,0
"126","L-14-1",5,4,5,2
"127","L-14-10",5,6,4,5
"128","L-14-11",3,6,4,4
"129","L-14-12",3,5,6,5
"130","L-14-13",2,3,5,1
"131","L-14-14",4,6,6,8
"132","L-14-15",6,3,3,1
"133","L-14-16",3,2,3,1
"134","L-14-17",4,3,4,3
"135","L-14-18",3,2,2,2
"136","L-14-19",5,2,4,4
"137","L-14-2",6,5,7,4
"138","L-14-20",2,2,4,5
"139","L-14-21",2,2,2,2
"140","L-14-22",0,3,1,2
"141","L-14-23",3,0,4,3
"142","L-14-24",1,2,2,1
"143","L-14-25",2,3,4,3
"144","L-14-3",7,7,8,7
"145","L-14-4",6,8,8,8
"146","L-14-5",7,4,2,4
"147","L-14-6",6,6,4,3
"148","L-14-7",5,3,3,2
"149","L-14-8",7,7,6,6
"150","L-14-9",6,6,6,3
"151","L-15-1",5,6,5,3
"152","L-15-10",2,2,2,2
"153","L-15-11",2,1,1,1
"154","L-15-12",0,1,1,0
"155","L-15-13",3,2,0,0
"156","L-15-14",0,2,3,6
"157","L-15-15",1,0,1,0
"158","L-15-16",0,3,0,0
"159","L-15-17",4,2,2,0
"160","L-15-18",2,2,1,5
"161","L-15-19",1,3,0,0
"162","L-15-2",3,1,2,2
"163","L-15-20",0,0,1,1
"164","L-15-21",2,1,3,5
"165","L-15-22",2,1,2,2
"166","L-15-23",3,1,2,0
"167","L-15-24",2,0,3,1
"168","L-15-25",5,5,5,6
"169","L-15-3",0,1,1,1
"170","L-15-4",2,4,1,1
"171","L-15-5",7,5,5,3
"172","L-15-6",1,1,1,1
"173","L-15-7",2,1,0,0
"174","L-15-8",2,6,4,4
"175","L-15-9",0,0,0,1
"176","L-16-1",0,0,0,0
"177","L-16-10",0,0,0,0
"178","L-16-11",0,0,0,0
"179","L-16-12",0,0,0,0
"180","L-16-13",0,0,1,0
"181","L-16-14",0,0,0,0
"182","L-16-15",0,1,0,1
"183","L-16-16",0,0,0,0
"184","L-16-17",0,0,0,0
"185","L-16-18",0,1,0,0
"186","L-16-19",0,0,0,1
"187","L-16-2",0,0,0,0
"188","L-16-20",1,0,0,0
"189","L-16-21",1,0,1,0
"190","L-16-22",0,0,0,0
"191","L-16-23",0,0,0,0
"192","L-16-24",0,0,0,0
"193","L-16-25",0,0,0,0
"194","L-16-3",0,0,0,1
"195","L-16-4",1,0,0,0
"196","L-16-5",0,0,0,0
"197","L-16-6",0,0,0,0
"198","L-16-7",0,0,0,0
"199","L-16-8",0,0,0,0
"200","L-16-9",0,0,0,0
"201","L-17-1",0,0,0,0
"202","L-17-10",1,0,0,0
"203","L-17-11",0,1,0,1
"204","L-17-12",3,2,1,0
"205","L-17-13",0,0,0,0
"206","L-17-14",0,0,0,0
"207","L-17-15",0,0,0,1
"208","L-17-16",0,0,1,0
"209","L-17-17",1,1,0,2
"210","L-17-18",1,0,0,0
"211","L-17-19",0,0,2,0
"212","L-17-2",0,0,0,0
"213","L-17-20",0,2,0,0
"214","L-17-21",0,0,0,0
"215","L-17-22",0,0,0,0
"216","L-17-23",0,0,0,0
"217","L-17-24",0,0,0,0
"218","L-17-25",0,1,0,0
"219","L-17-3",0,0,1,0
"220","L-17-4",0,1,1,0
"221","L-17-5",1,0,0,0
"222","L-17-6",2,3,3,1
"223","L-17-7",1,0,1,0
"224","L-17-8",2,1,0,0
"225","L-17-9",0,1,0,0
"226","L-18-1",0,0,0,0
"227","L-18-10",1,2,0,0
"228","L-18-11",0,0,0,1
"229","L-18-12",0,0,0,0
"230","L-18-13",0,1,0,0
"231","L-18-14",0,0,3,0
"232","L-18-15",2,4,1,0
"233","L-18-16",4,2,1,2
"234","L-18-17",0,0,1,0
"235","L-18-18",0,0,0,0
"236","L-18-19",0,0,0,0
"237","L-18-2",0,0,0,0
"238","L-18-20",0,0,0,0
"239","L-18-21",0,0,1,0
"240","L-18-22",1,1,0,0
"241","L-18-23",0,2,3,2
"242","L-18-24",0,1,0,0
"243","L-18-25",0,0,0,0
"244","L-18-3",0,0,1,0
"245","L-18-4",1,0,0,0
"246","L-18-5",0,0,0,0
"247","L-18-6",0,0,0,0
"248","L-18-7",0,0,0,0
"249","L-18-8",0,0,0,0
"250","L-18-9",0,1,0,0
"251","L-19-11",0,2,2,1
"252","L-19-12",0,2,1,1
"253","L-19-13",2,1,3,2
"254","L-19-14",2,2,1,0
"255","L-19-16",0,0,1,1
"256","L-19-17",1,1,1,1
"257","L-19-18",0,0,0,0
"258","L-19-2",1,1,0,0
"259","L-19-21",0,0,1,0
"260","L-19-22",0,3,2,2
"261","L-19-7",2,0,5,2
"262","L-19-8",2,2,2,4
"263","L-19-9",1,0,0,0
"264","L-2-1",0,0,2,1
"265","L-2-10",3,3,2,4
"266","L-2-11",2,4,3,2
"267","L-2-12",0,0,0,0
"268","L-2-13",0,0,0,0
"269","L-2-14",2,3,1,0
"270","L-2-15",2,3,2,3
"271","L-2-16",3,2,2,2
"272","L-2-17",0,0,0,0
