"","L4x4","X1_mean","X2_mean","X3_mean","X4_mean"
"1","L-1-0",168.863636363636,169.571428571429,171.761904761905,172.52380952381
"2","L-1-1",167.125,168.125,173.25,174.625
"3","L-1-2",168.333333333333,170.727272727273,173.9,174.3
"4","L-1-3",174.6,175.1,177.8,179.2
"5","L-1-4",170.142857142857,173.142857142857,177.166666666667,177.5
"6","L-10-0",175.363636363636,177.909090909091,180.59375,182.857142857143
"7","L-10-1",147.0625,150.4375,153.625,156.8
"8","L-10-2",175.9375,179.333333333333,181.142857142857,181.142857142857
"9","L-10-3",155.466666666667,159.066666666667,161.6,164.7
"10","L-10-4",166.6,170.5,173.153846153846,175
"11","L-11-0",155.944444444444,158.777777777778,161.694444444444,165.533333333333
"12","L-11-1",173.5,177.1875,182,185.866666666667
"13","L-11-2",156.5,160.5,164.5625,170.5
"14","L-11-3",172.2,176.066666666667,179.8,184.8
"15","L-11-4",156.857142857143,160.642857142857,164.714285714286,168.538461538462
"16","L-12-0",155.694444444444,161.166666666667,165.363636363636,168.125
"17","L-12-1",155.625,160.3125,166.9375,172.090909090909
"18","L-12-2",161.9375,165.6875,168.75,174.571428571429
"19","L-12-3",163.5,168.875,173.75,175.571428571429
"20","L-12-4",160.375,165.1875,169.75,172.416666666667
"21","L-13-0",158.941176470588,161.558823529412,164.294117647059,165.857142857143
"22","L-13-1",154.8125,157.5,161,164.266666666667
"23","L-13-2",165.6875,168.3125,171,169.818181818182
"24","L-13-3",152,155.5625,160.3125,163
"25","L-13-4",156.875,160,164.3125,166.714285714286
"26","L-14-0",171.388888888889,173.857142857143,176.882352941176,180.217391304348
"27","L-14-1",168.25,171.933333333333,174.214285714286,176
"28","L-14-2",168.1875,171.625,175.875,177.857142857143
"29","L-14-3",170.4375,173.0625,175.875,179
"30","L-14-4",165,169.625,173.5625,175.166666666667
"31","L-15-0",164.888888888889,170.305555555556,175.4,179.4
"32","L-15-1",173.25,176,178.625,179.615384615385
"33","L-15-2",159.125,163.5625,166.6,171.333333333333
"34","L-15-3",159.8,164,168.4,173.2
"35","L-15-4",157.066666666667,161,165.533333333333,169.214285714286
"36","L-16-0",164.84375,169.25,171.115384615385,175.545454545455
"37","L-16-1",173.076923076923,178.666666666667,177,179
"38","L-16-2",165.5625,173.466666666667,174,179
"39","L-16-3",153.1875,164.533333333333,171.857142857143,175.222222222222
"40","L-16-4",158.8,165.214285714286,172.333333333333,170.333333333333
"41","L-17-0",168.272727272727,173.903225806452,178.730769230769,182.9375
"42","L-17-1",159.466666666667,164,168.357142857143,173.727272727273
"43","L-17-2",155.666666666667,162,167.416666666667,170.454545454545
"44","L-17-3",166.6,170.266666666667,174.642857142857,175
"45","L-17-4",171.2,174.933333333333,180,182.1
"46","L-18-0",174.176470588235,176.676470588235,179.75,181.571428571429
"47","L-18-1",170.333333333333,172.642857142857,176.857142857143,184.181818181818
"48","L-18-2",171.933333333333,176.466666666667,180,181.5
"49","L-18-3",176.5625,179,183.285714285714,184.9
"50","L-18-4",174.125,177.8125,180.5,184
"51","L-19-0",152.714285714286,157.285714285714,170.857142857143,175.2
"52","L-19-1",156.666666666667,164,175.25,181.333333333333
"53","L-19-2",150.333333333333,161,171,184.666666666667
"54","L-19-3",148.727272727273,165.363636363636,175.7,183.625
"55","L-19-4",151.4,156.4,164.8,177.8
"56","L-2-0",169.057142857143,171.542857142857,174.235294117647,176.5
"57","L-2-1",168.375,171.5,172.866666666667,177
"58","L-2-2",165.25,169,172.666666666667,175.111111111111
"59","L-2-3",172.866666666667,174.928571428571,176.25,176.571428571429
"60","L-2-4",173.0625,176.25,178.307692307692,180.285714285714
"61","L-3-0",174.676470588235,177.242424242424,177.826086956522,177.888888888889
"62","L-3-1",180.444444444444,183.375,182.5,182
"63","L-3-2",180.5,183.090909090909,184.555555555556,187.4
"64","L-3-3",180.25,182.5,185.181818181818,186.6
"65","L-3-4",177.625,181.2,182.5,182.25
"66","L-4-0",162.416666666667,164.428571428571,166.851851851852,169.375
"67","L-4-1",156.3125,158.2,160.090909090909,163
"68","L-4-2",168.6875,169.9375,172.625,173.6
"69","L-4-3",165.6875,167.25,168.846153846154,171.4
"70","L-4-4",163.1875,165.933333333333,167.846153846154,170.833333333333
"71","L-5-0",156.333333333333,162.388888888889,162.333333333333,163.916666666667
"72","L-5-1",156.6875,161.8125,163.4375,166.375
"73","L-5-2",154.9375,162.25,163.6875,162.6875
"74","L-5-3",156.375,158,162.75,164.75
"75","L-5-4",150.3125,154.5625,158.0625,152
"76","L-6-0",165.969696969697,170.878787878788,174.484848484848,177.653846153846
"77","L-6-1",153.4375,163.3125,167.466666666667,168.75
"78","L-6-2",162.5625,168.642857142857,172.846153846154,178.666666666667
"79","L-6-3",161.9375,166.875,171.466666666667,173.538461538462
"80","L-6-4",155.1875,161.125,165.714285714286,169.833333333333
"81","L-7-0",166.617647058824,170.941176470588,176.545454545455,179.44
"82","L-7-1",161.333333333333,165.866666666667,173.5,176.083333333333
"83","L-7-2",162.4375,167.5625,173.785714285714,176
"84","L-7-3",165,169.4,174.466666666667,181.461538461538
"85","L-7-4",156.8125,165.125,169.533333333333,172.25
"86","L-8-0",159.571428571429,165.057142857143,169.058823529412,171.30303030303
"87","L-8-1",157.75,161.5625,164,170.727272727273
"88","L-8-2",160.125,163.8,166.5,168.846153846154
"89","L-8-3",160.0625,164.625,168.25,174.142857142857
"90","L-8-4",154.0625,158,161.066666666667,165.615384615385
"91","L-9-0",157.828571428571,162.971428571429,166.48275862069,170.136363636364
"92","L-9-1",153.428571428571,156.785714285714,162.538461538462,158.888888888889
"93","L-9-2",157,160.133333333333,163.928571428571,163
"94","L-9-3",155.6875,159.375,161.857142857143,165.916666666667
"95","L-9-4",155.9375,158.8125,161.642857142857,162.1
