"","L4x4","X1_mean","X2_mean","X3_mean","X4_mean"
"1","L-1-0",5.04545454545455,5.61904761904762,6.23809523809524,6.76190476190476
"2","L-1-1",5.25,5.875,6.375,6.375
"3","L-1-2",5.33333333333333,5.81818181818182,7.3,6.8
"4","L-1-3",5.7,5.9,6.1,6.6
"5","L-1-4",4.57142857142857,4.85714285714286,5.16666666666667,6.16666666666667
"6","L-10-0",5.38888888888889,5.40707070707071,5.43125,5.45634920634921
"7","L-10-1",5.60833333333333,5.54479166666667,5.496875,5.44833333333333
"8","L-10-2",5.37916666666667,5.41333333333333,5.43571428571428,5.43571428571429
"9","L-10-3",5.46111111111111,5.41666666666667,5.39666666666667,5.365
"10","L-10-4",5.38888888888889,5.37261904761905,5.37435897435897,5.38095238095238
"11","L-11-0",4.72314814814815,4.68564814814815,4.65925925925926,4.64166666666667
"12","L-11-1",4.62083333333333,4.64375,4.69375,4.75555555555555
"13","L-11-2",4.70104166666667,4.66770833333333,4.65625,4.68541666666667
"14","L-11-3",4.62222222222222,4.64333333333333,4.68666666666667,4.745
"15","L-11-4",4.69285714285714,4.64285714285714,4.64523809523809,4.6474358974359
"16","L-12-0",4.93935185185185,4.91111111111111,4.90151515151515,4.87291666666667
"17","L-12-1",4.94270833333333,4.925,4.91041666666667,4.92575757575757
"18","L-12-2",4.92708333333333,4.95729166666667,4.95,4.94523809523809
"19","L-12-3",4.89479166666667,4.8875,4.87708333333333,4.87380952380952
"20","L-12-4",4.91458333333333,4.8875,4.86041666666667,4.89305555555555
"21","L-13-0",4.95,4.91960784313726,4.90392156862745,4.89047619047619
"22","L-13-1",4.89270833333333,4.83229166666667,4.83854166666667,4.81555555555555
"23","L-13-2",4.88541666666667,4.88333333333333,4.87708333333333,4.88030303030303
"24","L-13-3",4.91041666666667,4.98333333333333,4.796875,4.78111111111111
"25","L-13-4",4.896875,4.88229166666667,4.8625,4.85119047619048
"26","L-14-0",4.8662037037037,4.88333333333333,4.89558823529412,4.93695652173913
"27","L-14-1",4.884375,4.89888888888889,4.9047619047619,4.91212121212121
"28","L-14-2",4.91666666666666,4.91979166666667,4.934375,4.95714285714286
"29","L-14-3",4.915625,4.92604166666667,4.940625,4.97333333333333
"30","L-14-4",4.85625,4.84895833333333,4.8625,4.87777777777778
"31","L-15-0",4.94444444444444,4.95231481481482,4.96380952380952,5.02111111111111
"32","L-15-1",5.06458333333333,5.065625,5.07604166666667,5.07948717948718
"33","L-15-2",5.025,5.009375,4.97777777777778,4.96888888888889
"34","L-15-3",5.04,5.00111111111111,4.98333333333333,4.97555555555556
"35","L-15-4",5.03222222222222,5.01888888888889,5.00777777777778,4.93333333333333
"36","L-16-0",5.23229166666667,5.22447916666667,5.21538461538462,5.22878787878788
"37","L-16-1",5.22948717948718,5.27777777777778,5.25416666666666,5.275
"38","L-16-2",5.20520833333333,5.23666666666667,5.22666666666667,5.27666666666667
"39","L-16-3",5.3,5.22333333333333,5.22619047619048,5.23333333333333
"40","L-16-4",5.25333333333333,5.20119047619048,5.18333333333333,5.16666666666667
"41","L-17-0",5.25555555555556,5.26881720430108,5.26025641025641,5.340625
"42","L-17-1",5.33444444444444,5.28111111111111,5.25714285714286,5.25454545454545
"43","L-17-2",5.27666666666667,5.23888888888889,5.23472222222222,5.20151515151515
"44","L-17-3",5.26111111111111,5.25888888888889,5.27380952380952,5.24166666666667
"45","L-17-4",5.22777777777778,5.24111111111111,5.27564102564103,5.30166666666667
"46","L-18-0",4.88137254901961,4.89705882352941,4.94791666666667,4.9452380952381
"47","L-18-1",4.85111111111111,4.86071428571428,4.88809523809524,4.98333333333333
