"","L5x5","DecidR_sum","Decid1_sum","Decid2_sum","Decid3_sum","Decid4_sum","Decid5_sum","Decid6_sum","Decid7_sum","Decid8_sum","Decid9_sum","MixedwoodR_sum","Mixedwood1_sum","Mixedwood2_sum","Mixedwood3_sum","Mixedwood4_sum","Mixedwood5_sum","Mixedwood6_sum","Mixedwood7_sum","Mixedwood8_sum","Mixedwood9_sum","PineR_sum","Pine1_sum","Pine2_sum","Pine3_sum","Pine4_sum","Pine5_sum","Pine6_sum","Pine7_sum","Pine8_sum","Pine9_sum","SpruceR_sum","Spruce1_sum","Spruce2_sum","Spruce3_sum","Spruce4_sum","Spruce5_sum","Spruce6_sum","Spruce7_sum","Spruce8_sum","Spruce9_sum","TreedBogR_sum","TreedBog1_sum","TreedBog2_sum","TreedBog3_sum","TreedBog4_sum","TreedBog5_sum","TreedBog6_sum","TreedBog7_sum","TreedBog8_sum","TreedBog9_sum","TreedFenR_sum","TreedFen1_sum","TreedFen2_sum","TreedFen3_sum","TreedFen4_sum","TreedFen5_sum","TreedFen6_sum","TreedFen7_sum","TreedFen8_sum","TreedFen9_sum","TreedSwampR_sum","TreedSwamp1_sum","TreedSwamp2_sum","TreedSwamp3_sum","TreedSwamp4_sum","TreedSwamp5_sum","TreedSwamp6_sum","TreedSwamp7_sum","TreedSwamp8_sum","TreedSwamp9_sum","GrassHerb_sum","Shrub_sum","GraminoidFen_sum","Marsh_sum","ShrubbyBog_sum","ShrubbyFen_sum","ShrubbySwamp_sum","Bare_sum","SnowIce_sum","Water_sum","UrbanIndustrial_sum","UrbanResidence_sum","RuralResidentialIndustrial_sum","IndustrialSiteRural_sum","WindGenerationFacility_sum","OtherDisturbedVegetation_sum","MineSite_sum","PeatMine_sum","WellSite_sum","Pipeline_sum","TransmissionLine_sum","SeismicLineNarrow_sum","SeismicLineWide_sum","RoadHardSurface_sum","RailHardSurface_sum","RoadTrailVegetated_sum","RoadVegetatedVerge_sum","RailVegetatedVerge_sum","CultivationCrop_sum","CultivationAbandoned_sum","CultivationRoughPasture_sum","CultivationTamePasture_sum","HighDensityLivestockOperation_sum","BorrowpitsDugoutsSumps_sum","MunicipalWaterSewage_sum","Reservoirs_sum","Canals_sum","CCDecidR_sum","CCDecid1_sum","CCDecid2_sum","CCDecid3_sum","CCDecid4_sum","CCMixedwoodR_sum","CCMixedwood1_sum","CCMixedwood2_sum","CCMixedwood3_sum","CCMixedwood4_sum","CCPineR_sum","CCPine1_sum","CCPine2_sum","CCPine3_sum","CCPine4_sum","CCSpruceR_sum","CCSpruce1_sum","CCSpruce2_sum","CCSpruce3_sum","CCSpruce4_sum"
"1","L-10-1",0,0,0,176482.612558303,23849.6533351031,0,0,6165.96355503705,0,0,0,0,0,46697.024004099,0,0,0,86156.1968386485,0,0,0,0,0,46460.8529428928,0,0,0,40652.9784114905,0,0,0,0,0,0,0,0,25188.3855227704,25347.8867208077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59427.7536022716,0,44330.9699300592,139221.266987545,0,0,0,35668.9538428275,694.89063988609,0,0,0,0,0,0,0,478060.27590595,141355.462576163,21873.0769079717,114026.584266084,71187.4109550268,0,0,168725.643171083,0,0,0,0,0,0,0,0,0,0,0,0,7147.67967104999,0,0,8410.85550492924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","L-10-2",0,0,0,46455.5919855486,126933.756444405,0,0,0,1113.08610696609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14643.3282501009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17454.3945646029,0,0,0,0,0,48248.603840139,0,0,535354.417576285,50479.9617648437,178111.966044405,19120.4420386494,282773.229240874,0,0,0,0,0,0,0,0,0,0,0,0,115584.175463054,17612.8268692844,3953.32460847513,21123.6198779309,20031.7909330218,0,0,239981.652151569,0,0,0,0,0,0,0,0,0,0,0,0,18153.7154712159,0,0,7521.79546976662,0,0,0,0,2480.6158508442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","L-10-3",0,0,0,46493.82582431,54553.6502531899,63523.5546531081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25030.4330658582,62587.1688136687,0,0,117043.909913647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58308.6265649797,0,44794.0882202171,0,0,0,0,0,0,8376.3766878895,0,161800.160161262,653207.938189281,12025.4421848505,0,118783.402628473,0,0,0,0,0,0,0,0,0,0,0,0,104097.88463829,22763.3700958666,11847.0432477911,29611.7125771834,80489.2871146641,0,0,60953.7818630604,0,0,0,0,0,0,0,0,0,0,0,0,13070.5757854111,0,0,9308.8344840244,0,0,0,0,8459.62332725769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","L-10-4",0,0,0,84436.2263234222,93148.7852661997,240058.412794983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2669.16167892782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18418.2044831729,0,0,0,0,0,0,0,3.39508460752236,177234.651382426,106432.474423278,209839.049140497,136245.461586725,206698.913401427,0,0,0,0,42908.023146076,0,0,0,0,0,0,0,270809.395359491,10863.3718496292,855.254530694099,3824.29676039609,48984.140868923,0,0,5065.48037413235,0,0,0,0,0,0,0,0,0,0,0,0,29865.6045138781,0,0,8855.99529120965,0,0,12470.7869445074,0,57443.4564193915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","L-11-1",0,0,0,3555.90478810376,138883.026881357,627484.200751273,22385.3887150421,10686.6141789475,0,0,0,0,0,0,0,51016.2367213495,0,0,0,0,0,0,0,0,0,31784.2888115711,8703.86121732447,0,0,0,0,0,0,0,0,23440.1446998143,8817.04793563162,0,4600.04223420281,0,0,0,0,0,0,60912.9770858954,57269.1138238597,67007.4962582745,11908.0927593554,0,0,0,0,0,0,79.8786910005078,0,0,0,0,0,0,0,0,0,19791.1991192652,0,0,0,0,0,0,0,0,500.887324336643,4461.64345772017,51894.5126051336,0,0,3791.16886468724,0,0,0,29331.6675983384,0,0,0,0,180406.303396736,48358.7477227546,0,51471.6348014974,10981.0825810098,15370.124446084,0,6315.3548116742,6289.48247160645,0,0,0,0,0,0,0,0,0,0,0,111150.593804751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98481.5856847474,0,0,0
"6","L-11-2",0,0,0,0,197319.393994105,261710.648331473,0,0,0,0,0,0,0,0,20360.8216169152,18138.092644559,1021.27974376595,20359.8004906512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20258.2968988899,24845.3161451804,20911.5530524577,0,9577.99522041438,0,0,0,0,0,6028.94918752259,77992.2651353086,122616.091482118,0,0,0,0,0,0,0,1433.7755288986,99.838894895749,1296.44755684979,32.3615503267184,16.9670512477599,11.6784537675004,0,0,0,0,0,10100.396713913,265.52277050381,165.657976668483,122.577006340648,96.6168038878128,239.761514938731,0,87.8429399767257,221.511833975604,678.612777920706,7747.44623540443,38407.2699113094,0,0,59160.6666113396,0,0,5345.61424164286,258019.429150824,0,0,0,0,52442.3119652248,49599.2463146604,497.330643918128,19170.225700797,3120.17912645502,12881.9390480015,0,19966.788867205,55786.2873792176,0,0,0,0,0,0,21788.9114208227,0,0,0,62045.9346678938,88162.9554833391,1939.60721734308,0,0,26148.7506688874,70.3745333168679,36514.7645749586,0,0,0,0,0,0,0,77919.2126718462,11223.9638936673,43161.1198009677,0,0
"7","L-11-3",0,0,0,0,117953.476865738,478018.416428819,22108.006894547,97.5094001807597,0,0,0,0,0,0,0,179573.638088884,0,2778.40046441008,0,0,0,0,0,0,34111.1557153809,42607.9542083996,0,0,0,0,0,0,0,0,0,10405.2410594095,4094.10677932946,2046.72885518416,14766.8383536842,0,0,0,0,0,45822.1619571339,55214.061026449,13943.1511090165,36625.4790543373,0,0,0,0,0,0,0,21.0827149803283,12361.7181500147,0,0,0,0,0,0,0,0,19256.3019103511,0,0,0,0,0,0,0,0,0,503.348028319915,63063.4066690831,0,0,1083.80655049606,0,0,0,3281.89405451847,0,0,0,0,75745.0167401155,22391.583778561,0,43093.5512512007,13905.7936530566,0,0,13411.222528938,11809.7432919185,0,0,0,0,0,0,0,0,0,0,0,146233.151957376,0,0,0,0,80749.5925655618,0,0,0,0,0,0,0,0,0,200053.134996564,0,0,0
"8","L-11-4",0,0,0,0,181456.794791339,429029.079406917,0,0,0,0,0,0,0,0,3253.54433000932,14880.1425177248,25556.5280834436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45534.1946997507,4013.44207071059,27111.5059690189,0,0,0,0,0,3843.55005710969,6176.90083461897,65469.7147995464,85056.5587193645,0,0,0,0,0,0,0,0,11532.3539761627,0,0,0,0,0,0,0,0,0,14675.2634717653,25067.0943611117,0,0,0,25.101387766871,0,4206.65487712792,0,15451.7876704687,4276.93564355215,7758.37227619731,0,0,1130.28211865526,0,0,0,241478.492247993,0,0,0,0,34562.0436714173,28519.6270639331,15917.3009370658,12145.7864962409,8808.03281697228,6247.6806300901,0,7826.94717322962,440.635802465514,0,0,0,0,0,0,37509.9477739641,0,0,0,131598.936284701,23743.9104185548,2499.07833337311,0,0,0,0,58230.2372219753,0,0,0,0,0,0,0,0,134803.448275744,47293.742356822,0,0
"9","L-12-1",0,0,0,14757.6623741567,15818.0842907426,755301.890951028,150996.349571809,19733.905038342,0,0,0,0,0,0,2105.94727168469,31842.9798957731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4075.98639090807,0,0,0,0,0,0,0,0,0,0,3991.19571562707,0,34132.7392372295,0,0,0,0,0,0,2256.9334166943,313.349278005051,0,38730.8279542028,0,0,0,0,0,0,0,11017.6197282197,0,5402.29620849381,0,0,6918.40755429713,0,0,0,0,12565.5533197837,31910.7225133863,0,0,113206.575637491,0,0,0,74992.1259651776,0,0,0,0,149505.758215407,63905.1160529908,7337.11148530343,82.8847714135803,15763.3596908907,67181.8631077433,0,2295.05031029366,121144.819024275,0,0,0,8949.90476422684,0,0,894.450153890299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","L-12-2",0,0,0,28531.8069364115,164409.447997265,291310.07788535,0,0,14721.3238839047,0,0,0,0,0,17079.9240435727,0,0,0,0,0,0,0,0,0,198.644128796265,0,0,0,12040.3037265902,0,0,0,0,0,10.1515345191124,0,0,0,0,0,0,0,0,0,131.022657171615,60045.1821990981,0,0,0,0,0,0,0,0,123214.936994115,244348.736793508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10167.9654599375,2644.1509539956,0,7709.41482692308,0,18386.4371777018,68389.2940989826,0,0,134577.752228398,0,0,0,168298.559527713,0,0,0,0,147992.652721059,100577.806870335,6160.85936987099,21861.0958573199,2362.62998728446,38496.9647243758,0,6423.11637978773,77039.3722001142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
