"","SS","1","2","3","4"
"1","BG_1_10",1,0,0,0
"2","BG_1_100",0,0,0,0
"3","BG_1_101",0,0,1,1
"4","BG_1_102",0,0,0,0
"5","BG_1_103",1,0,0,0
"6","BG_1_104",2,2,1,1
"7","BG_1_105",1,1,0,0
"8","BG_1_109",0,0,0,0
"9","BG_1_11",0,0,1,0
"10","BG_1_112",1,0,0,0
"11","BG_1_113",0,0,0,0
"12","BG_1_114",0,0,0,0
"13","BG_1_115",0,0,1,1
"14","BG_1_116",0,0,1,0
"15","BG_1_117",1,1,1,0
"16","BG_1_118",1,1,1,1
"17","BG_1_119",0,0,0,0
"18","BG_1_12",1,1,1,0
"19","BG_1_120",0,0,0,0
"20","BG_1_124",0,0,0,0
"21","BG_1_126",0,0,0,0
"22","BG_1_127",0,1,0,1
"23","BG_1_128",0,0,0,0
"24","BG_1_129",0,0,0,0
"25","BG_1_13",0,0,0,0
"26","BG_1_130",0,1,0,0
"27","BG_1_131",1,0,NA,NA
"28","BG_1_132",0,1,0,0
"29","BG_1_133",0,0,0,0
"30","BG_1_134",0,1,0,0
"31","BG_1_135",0,0,0,0
"32","BG_1_139",0,0,0,0
"33","BG_1_14",0,0,0,0
"34","BG_1_141",0,0,0,1
"35","BG_1_142",1,0,0,1
"36","BG_1_143",0,0,0,NA
"37","BG_1_144",0,0,0,0
"38","BG_1_145",1,1,2,2
"39","BG_1_146",0,1,1,1
"40","BG_1_147",0,0,0,0
"41","BG_1_148",0,0,0,0
"42","BG_1_149",0,0,NA,NA
"43","BG_1_150",0,0,0,0
"44","BG_1_21",2,2,0,0
"45","BG_1_22",0,0,0,0
"46","BG_1_23",1,1,0,0
"47","BG_1_24",0,0,0,0
"48","BG_1_25",1,1,0,0
"49","BG_1_26",0,0,0,0
"50","BG_1_27",0,0,0,0
"51","BG_1_28",0,0,0,0
"52","BG_1_29",0,0,0,0
"53","BG_1_36",0,0,0,0
"54","BG_1_37",0,0,0,0
"55","BG_1_38",0,0,0,0
"56","BG_1_39",1,1,0,0
"57","BG_1_40",0,0,0,0
"58","BG_1_41",0,0,1,1
"59","BG_1_42",0,0,0,0
"60","BG_1_43",0,0,0,0
"61","BG_1_44",0,0,0,0
"62","BG_1_51",0,0,0,0
"63","BG_1_52",0,1,1,0
"64","BG_1_53",1,1,1,1
"65","BG_1_54",2,2,1,1
"66","BG_1_55",1,0,0,0
"67","BG_1_56",0,0,NA,NA
"68","BG_1_57",0,0,0,0
"69","BG_1_58",0,0,0,0
"70","BG_1_6",0,0,1,0
"71","BG_1_60",0,0,0,1
"72","BG_1_66",0,0,0,0
"73","BG_1_68",0,0,0,0
"74","BG_1_69",0,1,1,1
"75","BG_1_7",0,0,0,0
"76","BG_1_70",0,1,0,0
"77","BG_1_71",1,0,0,0
"78","BG_1_72",0,NA,NA,NA
"79","BG_1_73",0,0,0,0
"80","BG_1_74",1,0,NA,NA
"81","BG_1_75",0,1,0,0
"82","BG_1_8",1,2,1,1
"83","BG_1_81",0,0,0,0
"84","BG_1_82",0,0,1,1
"85","BG_1_84",0,0,0,0
"86","BG_1_85",0,0,0,0
"87","BG_1_86",0,0,0,0
"88","BG_1_87",0,0,0,0
"89","BG_1_88",0,1,1,1
"90","BG_1_89",0,0,0,1
"91","BG_1_9",0,1,0,0
"92","BG_1_90",1,1,2,0
"93","BG_1_96",0,NA,NA,NA
"94","BG_1_97",0,1,0,0
"95","BG_1_98",0,0,0,0
"96","BG_1_99",1,1,0,0
"97","BG_10_1",0,0,0,NA
"98","BG_10_10",0,0,0,NA
"99","BG_10_100",4,3,3,2
"100","BG_10_11",0,0,0,0
"101","BG_10_12",0,0,0,0
"102","BG_10_13",0,1,2,NA
"103","BG_10_14",0,0,0,0
"104","BG_10_15",0,2,0,NA
"105","BG_10_17",0,0,0,0
"106","BG_10_18",0,0,0,0
"107","BG_10_19",0,0,0,1
"108","BG_10_2",1,0,2,1
"109","BG_10_20",1,0,2,3
"110","BG_10_21",0,0,1,0
"111","BG_10_22",1,2,1,0
"112","BG_10_23",2,0,1,0
"113","BG_10_24",0,0,0,NA
"114","BG_10_25",0,2,1,0
"115","BG_10_26",0,0,0,0
"116","BG_10_27",1,1,1,0
"117","BG_10_28",0,1,2,NA
"118","BG_10_29",2,0,0,0
"119","BG_10_3",1,2,1,NA
"120","BG_10_30",1,1,0,0
"121","BG_10_31",1,1,1,NA
"122","BG_10_32",0,1,0,1
"123","BG_10_33",2,1,1,2
"124","BG_10_34",1,0,3,0
"125","BG_10_35",0,0,1,1
"126","BG_10_36",0,0,1,0
"127","BG_10_37",1,1,1,NA
"128","BG_10_38",0,1,0,NA
"129","BG_10_39",1,2,1,1
"130","BG_10_4",0,0,1,NA
"131","BG_10_40",1,0,1,NA
"132","BG_10_41",2,0,0,NA
"133","BG_10_42",2,2,NA,NA
"134","BG_10_43",0,0,2,NA
"135","BG_10_44",0,1,1,0
"136","BG_10_45",2,0,2,NA
"137","BG_10_46",1,NA,NA,NA
"138","BG_10_47",0,0,0,NA
"139","BG_10_48",0,0,0,0
"140","BG_10_49",4,3,4,NA
"141","BG_10_5",1,1,0,0
"142","BG_10_50",1,2,2,2
"143","BG_10_51",2,2,2,NA
"144","BG_10_52",1,1,1,NA
"145","BG_10_53",0,1,2,1
"146","BG_10_54",0,3,2,0
"147","BG_10_55",0,1,1,NA
"148","BG_10_56",0,0,NA,NA
"149","BG_10_57",0,1,0,NA
"150","BG_10_58",1,2,1,NA
"151","BG_10_6",1,0,0,0
"152","BG_10_60",2,2,3,2
"153","BG_10_61",2,0,2,NA
"154","BG_10_62",1,2,2,2
"155","BG_10_63",0,2,1,2
"156","BG_10_64",1,NA,NA,NA
"157","BG_10_65",1,4,0,NA
"158","BG_10_66",0,1,1,1
"159","BG_10_67",0,1,2,1
"160","BG_10_68",1,1,2,1
"161","BG_10_69",3,2,2,1
"162","BG_10_7",0,0,0,0
"163","BG_10_70",1,2,2,0
"164","BG_10_71",0,0,0,0
"165","BG_10_72",0,3,1,NA
"166","BG_10_73",1,0,1,NA
"167","BG_10_74",0,1,0,2
"168","BG_10_75",0,0,0,1
"169","BG_10_76",1,2,0,1
"170","BG_10_77",1,1,1,1
"171","BG_10_79",2,0,1,2
"172","BG_10_8",2,1,1,NA
"173","BG_10_80",0,2,0,1
"174","BG_10_81",0,0,2,NA
"175","BG_10_82",0,1,0,1
"176","BG_10_85",2,1,1,NA
"177","BG_10_86",0,0,0,NA
"178","BG_10_87",0,1,1,NA
"179","BG_10_88",0,0,0,1
"180","BG_10_89",2,2,1,2
"181","BG_10_9",0,1,1,1
"182","BG_10_90",2,2,2,NA
"183","BG_10_91",0,0,0,NA
"184","BG_10_92",0,1,1,NA
"185","BG_10_93",2,0,1,1
"186","BG_10_94",1,1,1,NA
"187","BG_10_95",0,0,0,2
"188","BG_10_96",2,0,NA,NA
"189","BG_10_97",0,0,1,0
"190","BG_10_98",0,1,2,1
"191","BG_10_99",3,1,0,2
"192","BG_11_1",1,0,1,1
"193","BG_11_10",0,0,0,0
"194","BG_11_100",0,1,0,0
"195","BG_11_11",0,0,0,0
"196","BG_11_12",0,1,0,0
"197","BG_11_13",0,0,1,0
"198","BG_11_14",1,0,2,2
"199","BG_11_15",0,0,0,0
"200","BG_11_16",2,1,2,NA
"201","BG_11_17",0,1,0,0
"202","BG_11_18",0,0,0,0
"203","BG_11_19",1,0,0,0
"204","BG_11_2",0,1,1,NA
"205","BG_11_20",0,0,1,0
"206","BG_11_21",2,2,2,1
"207","BG_11_22",0,0,2,0
"208","BG_11_23",1,2,1,1
"209","BG_11_24",0,0,0,0
"210","BG_11_25",2,1,1,1
"211","BG_11_26",1,1,0,2
"212","BG_11_27",0,0,0,NA
"213","BG_11_28",1,1,2,0
"214","BG_11_29",1,1,2,0
"215","BG_11_3",0,0,0,0
"216","BG_11_30",3,1,0,2
"217","BG_11_31",0,0,2,1
"218","BG_11_32",1,0,0,0
"219","BG_11_33",0,0,0,0
"220","BG_11_34",0,0,0,0
"221","BG_11_35",0,0,2,1
"222","BG_11_36",1,1,1,NA
"223","BG_11_38",0,0,0,NA
"224","BG_11_39",0,1,0,NA
"225","BG_11_4",0,0,0,0
"226","BG_11_40",0,0,1,0
"227","BG_11_41",1,1,1,1
"228","BG_11_42",0,1,2,2
"229","BG_11_43",1,0,0,0
"230","BG_11_44",0,0,1,0
"231","BG_11_45",0,1,0,1
"232","BG_11_46",1,1,2,0
"233","BG_11_48",0,0,0,0
"234","BG_11_49",0,0,0,0
"235","BG_11_5",0,0,0,0
"236","BG_11_50",0,0,0,0
"237","BG_11_51",2,1,0,1
"238","BG_11_52",0,1,1,0
"239","BG_11_53",0,0,1,0
"240","BG_11_54",0,0,0,1
"241","BG_11_55",0,0,0,0
"242","BG_11_56",0,0,0,1
"243","BG_11_58",0,0,0,0
"244","BG_11_59",0,0,1,0
"245","BG_11_6",0,0,0,1
"246","BG_11_60",1,0,0,1
"247","BG_11_61",1,0,0,0
"248","BG_11_62",0,1,1,1
"249","BG_11_63",0,0,0,0
"250","BG_11_64",0,1,0,0
"251","BG_11_65",1,0,1,0
"252","BG_11_66",0,1,0,NA
"253","BG_11_67",0,0,0,0
"254","BG_11_68",1,0,0,0
"255","BG_11_69",0,1,0,1
"256","BG_11_7",1,1,1,NA
"257","BG_11_70",1,0,1,NA
"258","BG_11_71",0,0,1,0
"259","BG_11_72",0,0,0,0
"260","BG_11_73",1,1,1,0
