"","SS","1","2","3","4"
"1","BG_1_10",183,184,184,186
"2","BG_1_100",182,182,183,184
"3","BG_1_101",163,163,163,163
"4","BG_1_102",152,152,154,158
"5","BG_1_103",178,180,180,181
"6","BG_1_104",163,163,167,167
"7","BG_1_105",151,151,152,153
"8","BG_1_109",162,166,171,171
"9","BG_1_11",164,166,166,170
"10","BG_1_112",189,189,189,190
"11","BG_1_113",164,164,165,175
"12","BG_1_114",154,157,157,159
"13","BG_1_115",182,182,186,186
"14","BG_1_116",161,161,163,163
"15","BG_1_117",154,154,155,156
"16","BG_1_118",179,180,180,183
"17","BG_1_119",161,161,163,163
"18","BG_1_12",152,152,152,159
"19","BG_1_120",151,151,155,156
"20","BG_1_124",162,165,165,174
"21","BG_1_126",160,160,161,161
"22","BG_1_127",189,189,190,190
"23","BG_1_128",162,162,167,167
"24","BG_1_129",155,155,155,155
"25","BG_1_13",180,181,184,184
"26","BG_1_130",183,184,190,190
"27","BG_1_131",165,169,NA,NA
"28","BG_1_132",150,151,151,151
"29","BG_1_133",183,183,183,183
"30","BG_1_134",163,171,172,172
"31","BG_1_135",154,154,155,155
"32","BG_1_139",163,163,172,172
"33","BG_1_14",163,164,165,165
"34","BG_1_141",159,163,163,164
"35","BG_1_142",183,186,186,188
"36","BG_1_143",181,198,198,NA
"37","BG_1_144",155,155,156,156
"38","BG_1_145",182,182,184,184
"39","BG_1_146",166,166,167,167
"40","BG_1_147",151,151,152,152
"41","BG_1_148",185,185,191,191
"42","BG_1_149",161,162,NA,NA
"43","BG_1_150",151,151,153,153
"44","BG_1_21",158,158,164,164
"45","BG_1_22",182,184,196,196
"46","BG_1_23",183,185,199,199
"47","BG_1_24",155,155,160,160
"48","BG_1_25",182,182,183,184
"49","BG_1_26",182,183,183,183
"50","BG_1_27",152,152,153,153
"51","BG_1_28",182,182,182,186
"52","BG_1_29",166,169,169,175
"53","BG_1_36",160,160,165,165
"54","BG_1_37",181,181,183,187
"55","BG_1_38",162,162,165,170
"56","BG_1_39",153,153,154,156
"57","BG_1_40",183,183,183,185
"58","BG_1_41",171,171,173,173
"59","BG_1_42",154,154,155,155
"60","BG_1_43",180,181,195,195
"61","BG_1_44",163,163,163,167
"62","BG_1_51",183,183,186,186
"63","BG_1_52",182,182,182,182
"64","BG_1_53",170,170,171,171
"65","BG_1_54",154,155,158,158
"66","BG_1_55",189,190,200,200
"67","BG_1_56",164,167,NA,NA
"68","BG_1_57",151,151,153,153
"69","BG_1_58",182,196,196,196
"70","BG_1_6",181,183,194,194
"71","BG_1_60",152,152,152,152
"72","BG_1_66",189,189,189,190
"73","BG_1_68",163,163,168,169
"74","BG_1_69",154,154,155,155
"75","BG_1_7",181,182,185,185
"76","BG_1_70",188,189,192,192
"77","BG_1_71",163,173,177,177
"78","BG_1_72",157,NA,NA,NA
"79","BG_1_73",178,178,179,179
"80","BG_1_74",165,168,NA,NA
"81","BG_1_75",153,156,157,157
"82","BG_1_8",183,184,185,185
"83","BG_1_81",182,188,189,189
"84","BG_1_82",180,192,194,194
"85","BG_1_84",152,154,154,156
"86","BG_1_85",189,190,190,190
"87","BG_1_86",164,164,166,166
"88","BG_1_87",151,151,152,152
"89","BG_1_88",179,179,182,182
"90","BG_1_89",162,162,169,169
"91","BG_1_9",154,154,165,165
"92","BG_1_90",151,151,157,158
"93","BG_1_96",182,NA,NA,NA
"94","BG_1_97",181,183,187,187
"95","BG_1_98",173,173,174,174
"96","BG_1_99",154,154,156,156
"97","BG_10_1",141,142,144,NA
"98","BG_10_10",172,173,174,NA
"99","BG_10_100",183,184,187,188
"100","BG_10_11",143,148,153,156
"101","BG_10_12",141,143,144,145
"102","BG_10_13",144,145,146,NA
"103","BG_10_14",142,144,145,146
"104","BG_10_15",148,155,160,NA
"105","BG_10_17",150,155,158,160
"106","BG_10_18",167,170,173,174
"107","BG_10_19",167,168,171,174
"108","BG_10_2",142,143,145,146
