"","SS","1","2","3","4"
"1","BG_1_10",5,7,7,5
"2","BG_1_100",10,10,5,5
"3","BG_1_101",5,5,10,10
"4","BG_1_102",10,10,5,10
"5","BG_1_103",5,10,10,5
"6","BG_1_104",10,10,5,5
"7","BG_1_105",7,7,2,5
"8","BG_1_109",5,5,7,7
"9","BG_1_11",5,5,5,5
"10","BG_1_112",5,10,10,5
"11","BG_1_113",7,7,5,5
"12","BG_1_114",5,2,2,5
"13","BG_1_115",7,7,5,5
"14","BG_1_116",10,10,5,7
"15","BG_1_117",5,5,5,7
"16","BG_1_118",5,5,5,5
"17","BG_1_119",7,7,5,5
"18","BG_1_12",5,7,7,7
"19","BG_1_120",5,5,5,10
"20","BG_1_124",5,7,7,5
"21","BG_1_126",7,7,7,7
"22","BG_1_127",5,5,5,5
"23","BG_1_128",5,5,5,5
"24","BG_1_129",5,5,7,7
"25","BG_1_13",5,5,7,7
"26","BG_1_130",5,5,10,10
"27","BG_1_131",5,5,NA,NA
"28","BG_1_132",2,5,10,10
"29","BG_1_133",5,5,10,10
"30","BG_1_134",5,5,10,10
"31","BG_1_135",2,2,5,5
"32","BG_1_139",5,5,10,10
"33","BG_1_14",2,5,2,2
"34","BG_1_141",5,10,10,5
"35","BG_1_142",5,2,2,5
"36","BG_1_143",5,5,5,NA
"37","BG_1_144",7,7,2,2
"38","BG_1_145",7,7,5,5
"39","BG_1_146",5,5,5,5
"40","BG_1_147",10,10,5,5
"41","BG_1_148",5,5,5,5
"42","BG_1_149",10,5,NA,NA
"43","BG_1_150",10,10,5,5
"44","BG_1_21",5,5,10,10
"45","BG_1_22",5,5,5,5
"46","BG_1_23",5,5,10,10
"47","BG_1_24",10,10,5,5
"48","BG_1_25",5,5,5,5
"49","BG_1_26",5,5,10,10
"50","BG_1_27",7,7,10,10
"51","BG_1_28",5,7,7,5
"52","BG_1_29",5,5,5,10
"53","BG_1_36",10,10,5,5
"54","BG_1_37",5,5,5,7
"55","BG_1_38",5,5,2,5
"56","BG_1_39",5,5,5,10
"57","BG_1_40",5,10,10,5
"58","BG_1_41",2,2,5,5
"59","BG_1_42",7,7,5,5
"60","BG_1_43",5,5,10,10
"61","BG_1_44",5,10,10,5
"62","BG_1_51",5,5,5,5
"63","BG_1_52",5,5,7,7
"64","BG_1_53",5,5,7,7
"65","BG_1_54",5,5,7,7
"66","BG_1_55",5,5,5,5
"67","BG_1_56",5,5,NA,NA
"68","BG_1_57",2,2,2,2
"69","BG_1_58",5,5,5,10
"70","BG_1_6",5,5,5,7
"71","BG_1_60",2,2,5,5
"72","BG_1_66",5,7,7,5
"73","BG_1_68",5,5,2,5
"74","BG_1_69",5,5,5,5
"75","BG_1_7",5,5,7,7
"76","BG_1_70",5,5,10,10
"77","BG_1_71",5,5,7,7
"78","BG_1_72",5,NA,NA,NA
"79","BG_1_73",10,10,10,10
"80","BG_1_74",5,5,NA,NA
"81","BG_1_75",5,5,10,10
"82","BG_1_8",5,5,5,5
"83","BG_1_81",5,2,7,7
"84","BG_1_82",5,5,7,7
"85","BG_1_84",5,7,7,5
"86","BG_1_85",5,5,7,7
