project,data_set,site,station,recording_date,recording_time,status,latitude,longitude,is_buffered_location,species_code,scientific_name,species_english_name,method,rain,wind,noise,industry_noise,audio_quality,species_individual_name,transcriber,abundance,confidence,min0_voc,min0_start,min1_voc,min1_start,min2_voc,min2_start,min3_voc,min3_start,min4_voc,min4_start,min5_voc,min5_start,min6_voc,min6_start,min7_voc,min7_start,min8_voc,min8_start,min9_voc,min9_start,comment,species_comment
Big Grids 2018,BG,15,100,2018-07-02,4:57:00,Transcribed,55.378997,-111.079809,f,BOCH,Poecile hudsonicus,Boreal Chickadee,3m 1SPM,0,0,0,0,No audio quality issues,1,Connor Charchuk,ONE,Confident,,,,,Call,57.4,,,,,,,,,,,,,,,,
Big Grids 2018,BG,15,100,2018-07-02,4:57:00,Transcribed,55.378997,-111.079809,f,REVI,Vireo olivaceus,Red-eyed Vireo,3m 1SPM,0,0,0,0,No audio quality issues,1,Connor Charchuk,ONE,Confident,Song,0.3,Song,0.1,Song,1.9,,,,,,,,,,,,,,,,
Big Grids 2018,BG,15,100,2018-07-02,4:57:00,Transcribed,55.378997,-111.079809,f,SWTH,Catharus ustulatus,Swainson's Thrush,3m 1SPM,0,0,0,0,No audio quality issues,1,Connor Charchuk,ONE,Confident,,,,,Song,9.7,,,,,,,,,,,,,,,,
Big Grids 2018,BG,15,100,2018-07-02,4:57:00,Transcribed,55.378997,-111.079809,f,TEWA,Oreothylpis peregrina,Tennessee Warbler,3m 1SPM,0,0,0,0,No audio quality issues,1,Connor Charchuk,ONE,Confident,Song,27.9,,,,,,,,,,,,,,,,,,,,
Big Grids 2018,BG,15,100,2018-07-02,4:57:00,Transcribed,55.378997,-111.079809,f,YRWA,Setophaga coronata,Yellow-rumped Warbler,3m 1SPM,0,0,0,0,No audio quality issues,1,Connor Charchuk,ONE,Confident,Song,0.1,Song,2.9,Song,9.7,,,,,,,,,,,,,,,,
Big Grids 2018,BG,15,100,2018-07-02,4:57:00,Transcribed,55.378997,-111.079809,f,YRWA,Setophaga coronata,Yellow-rumped Warbler,3m 1SPM,0,0,0,0,No audio quality issues,2,Connor Charchuk,ONE,Confident,,,,,Song,5.9,,,,,,,,,,,,,,,,
Big Grids 2018,BG,15,100,2018-07-04,4:58:00,Transcribed,55.378997,-111.079809,f,ALFL,Empidonax alnorum,Alder Flycatcher,3m 1SPM,1,1,0,0,No audio quality issues,1,Nicole Boucher,ONE,Confident,Song,25.9,Song,3.9,,,,,,,,,,,,,,,,,,
Big Grids 2018,BG,15,100,2018-07-04,4:58:00,Transcribed,55.378997,-111.079809,f,LIRA, ,Light rain,3m 1SPM,1,1,0,0,No audio quality issues,1,Nicole Boucher,ONE,Confident,Song,46.4,Song,2.5,Song,2,,,,,,,,,,,,,,,,
Big Grids 2018,BG,15,100,2018-07-04,4:58:00,Transcribed,55.378997,-111.079809,f,LIWI, ,Light wind,3m 1SPM,1,1,0,0,No audio quality issues,1,Nicole Boucher,ONE,Confident,Song,0,Song,0,Song,0,,,,,,,,,,,,,,,,
Big Grids 2018,BG,15,100,2018-07-04,4:58:00,Transcribed,55.378997,-111.079809,f,MORA, ,Moderate rain,3m 1SPM,1,1,0,0,No audio quality issues,1,Nicole Boucher,ONE,Confident,Song,0.4,Song,31.9,,,,,,,,,,,,,,,,,,
Big Grids 2018,BG,15,100,2018-07-04,4:58:00,Transcribed,55.378997,-111.079809,f,MOWI, ,Moderate wind,3m 1SPM,1,1,0,0,No audio quality issues,1,Nicole Boucher,ONE,Confident,Song,34.7,Song,10.6,Song,38,,,,,,,,,,,,,,,,
Big Grids 2018,BG,15,100,2018-07-04,4:58:00,Transcribed,55.378997,-111.079809,f,REVI,Vireo olivaceus,Red-eyed Vireo,3m 1SPM,1,1,0,0,No audio quality issues,1,Nicole Boucher,ONE,Confident,Song,0.1,Song,0.2,Song,0.2,,,,,,,,,,,,,,,,
Big Grids 2018,BG,15,100,2018-07-04,4:58:00,Transcribed,55.378997,-111.079809,f,TEWA,Oreothylpis peregrina,Tennessee Warbler,3m 1SPM,1,1,0,0,No audio quality issues,1,Nicole Boucher,ONE,Confident,Song,26.4,Song,1.7,Song,0.1,,,,,,,,,,,,,,,,
Big Grids 2018,BG,15,100,2018-07-04,4:58:00,Transcribed,55.378997,-111.079809,f,UNTH, ,Unknown Thrush,3m 1SPM,1,1,0,0,No audio quality issues,1,Nicole Boucher,ONE,Unknown far,Song,32.2,Song,11.6,,,,,,,,,,,,,,,,,,
Big Grids 2018,BG,15,100,2018-07-04,4:58:00,Transcribed,55.378997,-111.079809,f,WIWR,Troglodytes hiemalis,Winter Wren,3m 1SPM,1,1,0,0,No audio quality issues,1,Nicole Boucher,ONE,Confident,Song,0,Song,5.9,Song,7,,,,,,,,,,,,,,,,
Big Grids 2018,BG,15,100,2018-07-04,4:58:00,Transcribed,55.378997,-111.079809,f,YRWA,Setophaga coronata,Yellow-rumped Warbler,3m 1SPM,1,1,0,0,No audio quality issues,1,Nicole Boucher,ONE,Confident,Song,8.5,Song,4.4,Song,0,,,,,,,,,,,,,,,,
Big Grids 2018,BG,15,100,2018-07-10,5:05:00,Transcribed,55.378997,-111.079809,f,ALFL,Empidonax alnorum,Alder Flycatcher,3m 1SPM,0,0,0,0,No audio quality issues,1,Brandon Law,ONE,Confident,Song,16.5,Song,1.8,Song,9.5,,,,,,,,,,,,,,,,
Big Grids 2018,BG,15,100,2018-07-10,5:05:00,Transcribed,55.378997,-111.079809,f,CHSP,Spizella passerina,Chipping Sparrow,3m 1SPM,0,0,0,0,No audio quality issues,1,Brandon Law,ONE,Confident,,,,,Song,43,,,,,,,,,,,,,,,,
