"","project","data_set","site","station","recording_date","recording_time","status","latitude","longitude","is_buffered_location","species_code","scientific_name","species_english_name","method","rain","wind","noise","industry_noise","audio_quality","species_individual_name","transcriber","abundance","confidence","min0_voc","min0_start","min1_voc","min1_start","min2_voc","min2_start","min3_voc","min3_start","min4_voc","min4_start","min5_voc","min5_start","min6_voc","min6_start","min7_voc","min7_start","min8_voc","min8_start","min9_voc","min9_start","comment","species_comment"
"1","Big Grids 2018","BG",15,2,"2018-07-01","4:56:00","Transcribed",55.330445,-111.155497,"f","GCKI","Regulus satrapa","Golden-crowned Kinglet","3m 1SPM",0,1,0,0,"No audio quality issues","1","Christopher Moser-Purdy","ONE","Confident","Song",3,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"2","Big Grids 2018","BG",15,2,"2018-07-01","4:56:00","Transcribed",55.330445,-111.155497,"f","HETH","Catharus guttatus","Hermit Thrush","3m 1SPM",0,1,0,0,"No audio quality issues","1","Christopher Moser-Purdy","ONE","Confident","Song",5.2,"Song","3.4","Song","5.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"3","Big Grids 2018","BG",15,2,"2018-07-01","4:56:00","Transcribed",55.330445,-111.155497,"f","LIWI"," ","Light wind","3m 1SPM",0,1,0,0,"No audio quality issues","1","Christopher Moser-Purdy","ONE","Confident","Song",0.1,"Song","0.1","Song","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"4","Big Grids 2018","BG",15,2,"2018-07-01","4:56:00","Transcribed",55.330445,-111.155497,"f","REVI","Vireo olivaceus","Red-eyed Vireo","3m 1SPM",0,1,0,0,"No audio quality issues","1","Christopher Moser-Purdy","ONE","Confident","Song",11.2,"Song","0.5","Song","25.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"5","Big Grids 2018","BG",15,2,"2018-07-01","4:56:00","Transcribed",55.330445,-111.155497,"f","SWTH","Catharus ustulatus","Swainson's Thrush","3m 1SPM",0,1,0,0,"No audio quality issues","1","Christopher Moser-Purdy","ONE","Confident","Song",3.4,"","","Song","42.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"6","Big Grids 2018","BG",15,2,"2018-07-01","4:56:00","Transcribed",55.330445,-111.155497,"f","WIWR","Troglodytes hiemalis","Winter Wren","3m 1SPM",0,1,0,0,"No audio quality issues","1","Christopher Moser-Purdy","ONE","Confident","Song",0.1,"Song","0.2","Song","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"7","Big Grids 2018","BG",15,2,"2018-07-01","4:56:00","Transcribed",55.330445,-111.155497,"f","YRWA","Setophaga coronata","Yellow-rumped Warbler","3m 1SPM",0,1,0,0,"No audio quality issues","1","Christopher Moser-Purdy","ONE","Confident","Song",5.2,"Song","6.8","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"8","Big Grids 2018","BG",15,2,"2018-07-04","4:58:00","Bad Weather",55.330445,-111.155497,"f","NONE","","","3m 1SPM",NA,NA,NA,NA,"",NA,"Nicole Boucher","","","",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"9","Big Grids 2018","BG",15,2,"2018-07-06","5:00:00","Transcribed",55.330445,-111.155497,"f","LIWI"," ","Light wind","3m 1SPM",0,1,0,0,"No audio quality issues","1","Christopher Moser-Purdy","ONE","Confident","Song",0.1,"Song","0.1","Song","0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"10","Big Grids 2018","BG",15,2,"2018-07-06","5:00:00","Transcribed",55.330445,-111.155497,"f","OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,1,0,0,"No audio quality issues","1","Christopher Moser-Purdy","ONE","Confident","Song",5,"Song","39.8","Song","16.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"11","Big Grids 2018","BG",15,2,"2018-07-06","5:00:00","Transcribed",55.330445,-111.155497,"f","UNPA"," ","Unknown Passerine","3m 1SPM",0,1,0,0,"No audio quality issues","1","Christopher Moser-Purdy","ONE","To Be Checked","",NA,"","","Song","7.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Maybe a call, really faint harmonic sounding note, thrush maybe"
"12","Big Grids 2018","BG",15,2,"2018-07-06","5:00:00","Transcribed",55.330445,-111.155497,"f","WWCR","Loxia leucoptera","White-winged Crossbill","3m 1SPM",0,1,0,0,"No audio quality issues","1","Christopher Moser-Purdy","ONE","Confident","S-C",2,"Song","0.8","Song","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"13","Big Grids 2018","BG",15,2,"2018-07-06","5:00:00","Transcribed",55.330445,-111.155497,"f","YRWA","Setophaga coronata","Yellow-rumped Warbler","3m 1SPM",0,1,0,0,"No audio quality issues","1","Christopher Moser-Purdy","ONE","Confident","Song",3.3,"Song","10.5","Song","3.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"14","Big Grids 2018","BG",15,2,"2018-07-10","5:05:00","Transcribed",55.330445,-111.155497,"f","GRAJ","Perisoreus canadensis","Gray Jay","3m 1SPM",0,1,0,0,"No audio quality issues","1","Christopher Moser-Purdy","ONE","Confident","Call",17,"","","Call","12.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"15","Big Grids 2018","BG",15,2,"2018-07-10","5:05:00","Transcribed",55.330445,-111.155497,"f","HETH","Catharus guttatus","Hermit Thrush","3m 1SPM",0,1,0,0,"No audio quality issues","1","Christopher Moser-Purdy","ONE","Confident","Song",4,"Song","3.2","Song","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"16","Big Grids 2018","BG",15,2,"2018-07-10","5:05:00","Transcribed",55.330445,-111.155497,"f","LIWI"," ","Light wind","3m 1SPM",0,1,0,0,"No audio quality issues","1","Christopher Moser-Purdy","ONE","Confident","Song",0.2,"Song","0.2","Song","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"17","Big Grids 2018","BG",15,2,"2018-07-10","5:05:00","Transcribed",55.330445,-111.155497,"f","UNPA"," ","Unknown Passerine","3m 1SPM",0,1,0,0,"No audio quality issues","1","Christopher Moser-Purdy","ONE","To Be Checked","Song",9.4,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Faint harsh song, comes up a few times, overlaps with WWCR so not that one, maybe a different WWCR, or a CCSP"
