,ALFL,AMCO,AMCR,AMGO,AMRE,AMRO,ATSP,BAOR,BAWW,BBMA,BBWA,BCCH,BCFR,BHCO,BHVI,BLBW,BLJA,BLPW,BOCH,BOGU,BRCR,BTNW,CANG,CATO,CAWA,CCSP,CEDW,CHSP,CLNU,CMWA,COLO,CONI,CONW,CORA,CORE,COTE,COYE,CSWA,DEJU,DOGG,DOWO,EAKI,FOSP,GCKI,GHOW,GRAJ,GRCA,GRYE,HAWO,HEBA,HENO,HERA,HETH,HETR,HEWI,HOFI,HOWR,KILL,LCSP,LEFL,LEYE,LIAI,LIBA,LIDT,LINO,LIRA,LISP,LITR,LIWI,MAWA,MAWR,MGWA,MOAI,MOBA,MODO,MONO,MORA,MOTR,MOWA,MOWI,NAWA,NOFL,NOGO,NONE,NOPA,NOWA,OCWA,OSFL,OVEN,PAWA,PAWR,PBGR,PHVI,PISI,PIWO,PUFI,RBGR,RBGU,RBNU,RCKI,RESQ,REVI,RNGR,RUGR,RWBL,SACR,SCTA,SORA,SOSA,SOSP,SPGR,SPPE,SPSA,SWSP,SWTH,TEWA,TRES,UNAM,UNBL,UNCV,UNDU,UNFI,UNFL,UNKN,UNMA,UNPA,UNQK,UNSA,UNSH,UNSP,UNTH,UNTR,UNVI,UNWA,UNWO,UNYE,VATH,WAVI,WBBE,WBNU,WETA,WETO,WEWP,WISN,WIWA,WIWR,WOLF,WTSP,WWCR,YBFL,YBSA,YERA,YEWA,YRWA,data_set,site,station,recording_date,recording_time,rain,wind,industry_noise,noise,latitude,longitude,VISIT,DateTime,lubridated,Year,Month,Day,Hour,Minute,Second
BG_15_100_2018-07-02_4:57:00_0_0_0_0_55.378997_-111.079809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,BG,15,100,2018-07-02,4:57:00,0,0,0,0,55.378997,-111.079809,BG151002018-07-024:57:00,2018-07-02 4:57,2018-07-02 4:57,2018,7,2,4,57,0
BG_15_100_2018-07-04_4:58:00_1_1_0_0_55.378997_-111.079809,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,BG,15,100,2018-07-04,4:58:00,1,1,0,0,55.378997,-111.079809,BG151002018-07-044:58:00,2018-07-04 4:58,2018-07-04 4:58,2018,7,4,4,58,0
BG_15_100_2018-07-10_5:05:00_0_0_0_0_55.378997_-111.079809,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,BG,15,100,2018-07-10,5:05:00,0,0,0,0,55.378997,-111.079809,BG151002018-07-105:05:00,2018-07-10 5:05,2018-07-10 5:05,2018,7,10,5,5,0
BG_15_100_2018-07-11_5:06:00_1_1_1_0_55.378997_-111.079809,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,BG,15,100,2018-07-11,5:06:00,1,1,1,0,55.378997,-111.079809,BG151002018-07-115:06:00,2018-07-11 5:06,2018-07-11 5:06,2018,7,11,5,6,0
BG_15_11_2018-06-30_4:55:00_0_0_1_0_55.335824_-111.164977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,BG,15,11,2018-06-30,4:55:00,0,0,1,0,55.335824,-111.164977,BG15112018-06-304:55:00,2018-06-30 4:55,2018-06-30 4:55,2018,6,30,4,55,0
BG_15_11_2018-07-04_4:58:00_0_0_0_0_55.335824_-111.164977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BG,15,11,2018-07-04,4:58:00,0,0,0,0,55.335824,-111.164977,BG15112018-07-044:58:00,2018-07-04 4:58,2018-07-04 4:58,2018,7,4,4,58,0
BG_15_11_2018-07-10_5:05:00_0_0_0_0_55.335824_-111.164977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,BG,15,11,2018-07-10,5:05:00,0,0,0,0,55.335824,-111.164977,BG15112018-07-105:05:00,2018-07-10 5:05,2018-07-10 5:05,2018,7,10,5,5,0
BG_15_11_2018-07-11_5:06:00_1_0_0_0_55.335824_-111.164977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BG,15,11,2018-07-11,5:06:00,1,0,0,0,55.335824,-111.164977,BG15112018-07-115:06:00,2018-07-11 5:06,2018-07-11 5:06,2018,7,11,5,6,0
BG_15_12_2018-07-02_4:57:00_0_0_0_0_55.335872_-111.155613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,BG,15,12,2018-07-02,4:57:00,0,0,0,0,55.335872,-111.155613,BG15122018-07-024:57:00,2018-07-02 4:57,2018-07-02 4:57,2018,7,2,4,57,0
BG_15_12_2018-07-05_4:59:00_0_0_0_0_55.335872_-111.155613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,BG,15,12,2018-07-05,4:59:00,0,0,0,0,55.335872,-111.155613,BG15122018-07-054:59:00,2018-07-05 4:59,2018-07-05 4:59,2018,7,5,4,59,0
BG_15_12_2018-07-06_5:00:00_0_1_0_1_55.335872_-111.155613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BG,15,12,2018-07-06,5:00:00,0,1,0,1,55.335872,-111.155613,BG15122018-07-065:00:00,2018-07-06 5:00,2018-07-06 5:00,2018,7,6,5,0,0
BG_15_12_2018-07-07_5:01:00_0_0_0_1_55.335872_-111.155613,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,BG,15,12,2018-07-07,5:01:00,0,0,0,1,55.335872,-111.155613,BG15122018-07-075:01:00,2018-07-07 5:01,2018-07-07 5:01,2018,7,7,5,1,0
BG_15_13_2018-07-02_4:57:00_0_1_0_0_55.335938_-111.146091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BG,15,13,2018-07-02,4:57:00,0,1,0,0,55.335938,-111.146091,BG15132018-07-024:57:00,2018-07-02 4:57,2018-07-02 4:57,2018,7,2,4,57,0
BG_15_13_2018-07-04_4:58:00_1_0_0_0_55.335938_-111.146091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,BG,15,13,2018-07-04,4:58:00,1,0,0,0,55.335938,-111.146091,BG15132018-07-044:58:00,2018-07-04 4:58,2018-07-04 4:58,2018,7,4,4,58,0
BG_15_13_2018-07-06_5:00:00_0_2_0_0_55.335938_-111.146091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,BG,15,13,2018-07-06,5:00:00,0,2,0,0,55.335938,-111.146091,BG15132018-07-065:00:00,2018-07-06 5:00,2018-07-06 5:00,2018,7,6,5,0,0
BG_15_13_2018-07-08_5:03:00_0_0_1_0_55.335938_-111.146091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BG,15,13,2018-07-08,5:03:00,0,0,1,0,55.335938,-111.146091,BG15132018-07-085:03:00,2018-07-08 5:03,2018-07-08 5:03,2018,7,8,5,3,0
