Station,YEAR,MONTH,DAY,ROAD,JULIAN,X,Y,HETH
BG-0002-001,2015,6,16,0,166,-110.9990005,56.3941002,0
BG-0002-001,2015,6,19,0,169,-110.9990005,56.3941002,0
BG-0002-001,2015,6,21,0,171,-110.9990005,56.3941002,0
BG-0002-001,2015,6,26,0,176,-110.9990005,56.3941002,1
BG-0002-002,2015,6,26,0,176,-110.9889984,56.3936005,0
BG-0002-002,2015,6,15,0,165,-110.9889984,56.3936005,0
BG-0002-002,2015,6,19,0,169,-110.9889984,56.3936005,0
BG-0002-002,2015,6,22,0,172,-110.9889984,56.3936005,0
BG-0002-003,2015,6,20,0,170,-110.9800034,56.3931999,1
BG-0002-003,2015,6,18,0,168,-110.9800034,56.3931999,1
BG-0002-003,2015,6,21,0,171,-110.9800034,56.3931999,0
BG-0002-003,2015,6,24,0,174,-110.9800034,56.3931999,1
BG-0002-004,2015,6,17,0,167,-110.9700012,56.3930016,0
BG-0002-004,2015,6,29,0,179,-110.9700012,56.3930016,2
BG-0002-004,2015,6,21,0,171,-110.9700012,56.3930016,0
BG-0002-004,2015,6,20,0,170,-110.9700012,56.3930016,1
BG-0002-005,2015,6,26,0,176,-110.961998,56.3928986,1
BG-0002-005,2015,6,30,0,180,-110.961998,56.3928986,2
BG-0002-005,2015,6,22,0,172,-110.961998,56.3928986,3
BG-0002-005,2015,6,21,0,171,-110.961998,56.3928986,2
BG-0002-006,2015,6,21,0,171,-110.9499969,56.3925018,0
BG-0002-006,2015,6,25,0,175,-110.9499969,56.3925018,0
BG-0002-006,2015,6,23,0,173,-110.9499969,56.3925018,0
BG-0002-006,2015,6,24,0,174,-110.9499969,56.3925018,0
BG-0002-007,2015,6,22,0,172,-110.9410019,56.3921013,1
BG-0002-007,2015,6,21,0,171,-110.9410019,56.3921013,2
BG-0002-007,2015,6,23,0,173,-110.9410019,56.3921013,2
BG-0002-007,2015,6,24,0,174,-110.9410019,56.3921013,1
BG-0002-008,2015,6,22,0,172,-110.9309998,56.3917007,0
BG-0002-008,2015,6,25,0,175,-110.9309998,56.3917007,0
BG-0002-008,2015,6,23,0,173,-110.9309998,56.3917007,1
BG-0002-008,2015,6,24,0,174,-110.9309998,56.3917007,0
BG-0002-009,2015,6,22,0,172,-110.9219971,56.3913002,0
BG-0002-009,2015,6,21,0,171,-110.9219971,56.3913002,0
BG-0002-009,2015,6,23,0,173,-110.9219971,56.3913002,0
BG-0002-009,2015,6,25,0,175,-110.9219971,56.3913002,0
BG-0002-011,2015,6,12,1,162,-110.9990005,56.3992996,0
BG-0002-011,2015,6,16,1,166,-110.9990005,56.3992996,1
BG-0002-011,2015,6,14,1,164,-110.9990005,56.3992996,0
BG-0002-011,2015,6,24,1,174,-110.9990005,56.3992996,0
BG-0002-012,2015,6,21,0,171,-110.9889984,56.3988991,0
BG-0002-012,2015,6,15,0,165,-110.9889984,56.3988991,0
BG-0002-012,2015,6,22,0,172,-110.9889984,56.3988991,1
BG-0002-013,2015,6,25,1,175,-110.9789963,56.3986015,2
BG-0002-013,2015,6,24,1,174,-110.9789963,56.3986015,1
BG-0002-013,2015,6,20,1,170,-110.9789963,56.3986015,1
BG-0002-013,2015,6,22,1,172,-110.9789963,56.3986015,0
BG-0002-014,2015,6,22,1,172,-110.9690018,56.3983002,0
BG-0002-014,2015,6,16,1,166,-110.9690018,56.3983002,0
BG-0002-014,2015,6,18,1,168,-110.9690018,56.3983002,0
BG-0002-014,2015,6,24,1,174,-110.9690018,56.3983002,0
