"","Site","D1","D2","D3","D4"
"BG-0002-001","BG-0002-001",0,0,0,1
"BG-0002-002","BG-0002-002",0,0,0,0
"BG-0002-003","BG-0002-003",1,1,0,1
"BG-0002-004","BG-0002-004",0,2,0,1
"BG-0002-005","BG-0002-005",1,2,3,2
"BG-0002-006","BG-0002-006",0,0,0,0
"BG-0002-007","BG-0002-007",1,2,2,1
"BG-0002-008","BG-0002-008",0,0,1,0
"BG-0002-009","BG-0002-009",0,0,0,0
"BG-0002-011","BG-0002-011",0,1,0,0
"BG-0002-012","BG-0002-012",0,0,1,NA
"BG-0002-013","BG-0002-013",2,1,1,0
"BG-0002-014","BG-0002-014",0,0,0,0
"BG-0002-015","BG-0002-015",1,0,0,1
"BG-0002-016","BG-0002-016",0,0,0,0
"BG-0002-017","BG-0002-017",1,1,0,0
"BG-0002-018","BG-0002-018",1,0,0,0
"BG-0002-019","BG-0002-019",0,0,0,0
"BG-0002-020","BG-0002-020",2,0,2,1
"BG-0002-021","BG-0002-021",1,0,NA,NA
"BG-0002-022","BG-0002-022",1,1,1,2
"BG-0002-023","BG-0002-023",0,2,2,1
"BG-0002-024","BG-0002-024",0,0,0,0
"BG-0002-025","BG-0002-025",0,0,0,NA
"BG-0002-026","BG-0002-026",0,0,0,0
"BG-0002-027","BG-0002-027",0,0,0,0
"BG-0002-028","BG-0002-028",0,0,0,0
"BG-0002-029","BG-0002-029",0,0,0,0
"BG-0002-030","BG-0002-030",0,0,0,0
"BG-0002-031","BG-0002-031",0,2,2,0
"BG-0002-032","BG-0002-032",1,1,0,NA
"BG-0002-033","BG-0002-033",1,1,1,1
"BG-0002-034","BG-0002-034",0,0,0,0
"BG-0002-035","BG-0002-035",0,0,1,NA
"BG-0002-036","BG-0002-036",0,0,0,0
"BG-0002-037","BG-0002-037",0,0,0,0
"BG-0002-038","BG-0002-038",0,0,0,0
"BG-0002-039","BG-0002-039",0,0,0,NA
"BG-0002-040","BG-0002-040",0,0,1,NA
"BG-0002-041","BG-0002-041",3,2,2,2
"BG-0002-042","BG-0002-042",0,2,1,1
"BG-0002-043","BG-0002-043",0,1,0,0
"BG-0002-044","BG-0002-044",0,0,0,0
"BG-0002-045","BG-0002-045",0,0,0,0
"BG-0002-046","BG-0002-046",0,0,0,0
"BG-0002-047","BG-0002-047",0,0,0,0
"BG-0002-048","BG-0002-048",0,0,0,0
"BG-0002-049","BG-0002-049",0,0,0,0
"BG-0002-050","BG-0002-050",0,0,0,0
"BG-0002-051","BG-0002-051",0,0,2,2
"BG-0002-052","BG-0002-052",0,1,0,NA
"BG-0002-053","BG-0002-053",0,0,1,0
"BG-0002-054","BG-0002-054",0,0,0,1
"BG-0002-055","BG-0002-055",0,0,0,0
"BG-0002-056","BG-0002-056",0,0,0,0
"BG-0002-057","BG-0002-057",0,0,0,0
"BG-0002-058","BG-0002-058",2,0,2,0
"BG-0002-059","BG-0002-059",0,1,1,0
"BG-0002-060","BG-0002-060",1,2,1,NA
"BG-0002-062","BG-0002-062",0,0,1,0
"BG-0002-063","BG-0002-063",0,0,1,2
"BG-0002-064","BG-0002-064",1,0,1,1
"BG-0002-065","BG-0002-065",0,0,NA,NA
"BG-0002-066","BG-0002-066",1,0,1,1
"BG-0002-067","BG-0002-067",0,3,0,1
"BG-0002-068","BG-0002-068",1,3,NA,NA
"BG-0002-069","BG-0002-069",0,0,0,NA
"BG-0002-070","BG-0002-070",0,0,0,1
"BG-0002-071","BG-0002-071",0,0,0,0
"BG-0002-072","BG-0002-072",0,0,0,0
"BG-0002-073","BG-0002-073",0,0,0,1
"BG-0002-074","BG-0002-074",0,0,1,0
"BG-0002-075","BG-0002-075",1,1,0,0
"BG-0002-076","BG-0002-076",0,1,0,0
"BG-0002-077","BG-0002-077",0,0,NA,NA
"BG-0002-078","BG-0002-078",0,0,0,0
"BG-0002-079","BG-0002-079",1,0,1,1
"BG-0002-080","BG-0002-080",1,0,2,1
"BG-0002-081","BG-0002-081",0,1,0,1
"BG-0002-082","BG-0002-082",0,1,NA,NA
"BG-0002-083","BG-0002-083",0,0,0,2
"BG-0002-084","BG-0002-084",0,1,1,2
"BG-0002-085","BG-0002-085",2,2,0,1
"BG-0002-086","BG-0002-086",2,1,1,2
"BG-0002-087","BG-0002-087",1,0,0,0
"BG-0002-088","BG-0002-088",0,1,0,0
"BG-0002-089","BG-0002-089",1,1,3,3
